feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ppX	temperature	temperature	0.0881126104492992	0.00574190629309363	510	510	1.02687765691645e-42	1.29386584771473e-39
sqdB	temperature	temperature	0.0714596296725191	0.00480102863094042	510	510	9.97822138275397e-41	6.286279471135e-38
pstA	temperature	temperature	0.09372419599047	0.00658717048386039	510	510	6.19041313166909e-38	2.59997351530102e-35
ppA	temperature	temperature	0.109812765249641	0.00792405805015344	510	510	2.22952213307737e-36	7.02299471919372e-34
futB	temperature	temperature	0.0665651065033578	0.00485082770909906	510	510	8.22502088736787e-36	2.0727052636167e-33
speA	temperature	temperature	0.0546055502327892	0.00399662278796262	510	510	1.45544416032173e-35	3.05643273667564e-33
PMM0804	temperature	temperature	0.102192732479839	0.00751753927131003	510	510	2.8182377182502e-35	5.07282789285037e-33
urtA	temperature	temperature	0.142042520005424	0.0106384517750144	510	510	2.83244735187518e-34	4.46110457920341e-32
pstC	temperature	temperature	0.104511973585275	0.00789844538847988	510	510	8.82138238909158e-34	1.23499353447282e-31
ntcA	temperature	temperature	0.116551086618315	0.00886663325906933	510	510	2.00824428598027e-33	2.53038780033514e-31
speB	temperature	temperature	0.0896029211185615	0.0068629713435008	510	510	4.64187313828807e-33	5.31705468567543e-31
pstS	temperature	temperature	0.0996031654865889	0.00770167881025099	510	510	1.47816188027064e-32	1.55206997428417e-30
fur	temperature	temperature	0.109244062649112	0.0084927784507384	510	510	2.83276407447559e-32	2.74560210295326e-30
futA	temperature	temperature	0.0645687844542716	0.00514834291813434	510	510	5.6305013046078e-31	5.06745117414702e-29
crp1390	temperature	temperature	0.112557790385731	0.00907523006771867	510	510	2.02739530773675e-30	1.70301205849887e-28
pipX	temperature	temperature	0.102683404131341	0.00882538982311189	510	510	2.12969406257808e-27	1.67713407428024e-25
ureD	temperature	temperature	0.153475824879201	0.0137399895872975	510	510	1.28987858269239e-25	9.56027655407299e-24
ppK	temperature	temperature	0.0396707810646665	0.00364360889746262	510	510	1.49049661803173e-24	1.04334763262221e-22
isiA	temperature	temperature	0.0800449125884758	0.00741219916998591	510	510	3.19316397415267e-24	2.11757189864861e-22
thiO	temperature	temperature	0.0820407354627829	0.0076574148717098	510	510	6.61589849601365e-24	4.1680160524886e-22
ureF	temperature	temperature	0.148753054771648	0.0140982652742425	510	510	2.63657653399559e-23	1.58194592039735e-21
carB	temperature	temperature	-0.0656284985832096	0.00623121674885123	510	510	3.09465559243075e-23	1.77239365748306e-21
mfs	Month	3	-3.14091009876152	0.300919882007771	510	510	6.864092264034e-23	3.76032880551428e-21
ureG	temperature	temperature	0.0989465316045327	0.00977751719418467	510	510	9.70043583859691e-22	5.09272881526338e-20
ureE	temperature	temperature	0.143315884945751	0.0142705612375404	510	510	1.8295424215804e-21	9.22089380476522e-20
arsR	Month	3	-3.99129147742107	0.404058554421187	510	510	7.03715518561861e-21	3.41031366687671e-19
gap1	Month	3	-2.93338336072255	0.297622784027166	510	510	8.41247387908165e-21	3.92582114357144e-19
dadA	Month	12	-1.97795790882863	0.202759042464759	510	510	1.90350835036746e-20	8.56578757665356e-19
ureB	Month	10	1.54755106229118	0.159150751580006	510	510	2.45222683898221e-20	1.06545028176469e-18
isiB	Month	12	0.721818910202894	0.0764961485381757	510	510	2.43876966469017e-19	1.02428325916987e-17
nadB	temperature	temperature	0.0306370325048626	0.00325612427625001	510	510	3.0177299159141e-19	1.2265611916296e-17
glsF	temperature	temperature	-0.0365721354761694	0.00388917385071529	510	510	3.15093663283164e-19	1.24068129917746e-17
PMM721	Month	12	-3.51985450487839	0.388571773155323	510	510	4.6432435564146e-18	1.77287481244921e-16
phoA	log_phosphate	log_phosphate	-1.38504945559316	0.154751032556459	510	510	1.06518157770339e-17	3.94743761148903e-16
glnB	Month	9	-0.543880736750522	0.0625436440078973	510	510	7.28786931495105e-17	2.62363295338238e-15
isiB	Month	10	0.615344887671259	0.0720420375195658	510	510	2.30402872714576e-16	8.06410054501016e-15
ureB	temperature	temperature	0.096980771111672	0.0114035890109073	510	510	3.03007285971842e-16	1.03186264952573e-14
narB	Month	12	-3.95398806204296	0.470122418474173	510	510	6.04134042288681e-16	2.0031812981151e-14
ureA	temperature	temperature	0.102988955889258	0.012250847511834	510	510	6.2149837243648e-16	2.00791781864094e-14
PMM722	temperature	temperature	0.0612845435200822	0.00753153952948009	510	510	4.37678149989539e-15	1.37868617246705e-13
