feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG0403	Mean_Depth	Mean_Depth	-0.00123243580920241	7.3690272406096e-05	139	139	9.20421380371797e-34	7.56218206113468e-30
COG0513	Mean_Temperature	Mean_Temperature	-0.0534454831669932	0.00317930847371795	139	139	5.69047125228359e-34	7.56218206113468e-30
COG0511	Mean_Depth	Mean_Depth	-0.0009853297065197	6.09542128036369e-05	139	139	1.69600647620316e-32	6.96719460424257e-29
COG0858	Mean_Depth	Mean_Depth	-0.00120560781207617	7.40654646650236e-05	139	139	1.47103823389199e-32	6.96719460424257e-29
COG0777	Mean_Depth	Mean_Depth	-0.00111377638968834	7.05324849318872e-05	139	139	2.07482512343088e-31	6.81870528564324e-28
COG1003	Mean_Depth	Mean_Depth	-0.00124110293590538	8.07478749204985e-05	139	139	1.15417603351943e-30	3.16090343046521e-27
COG0816	Mean_Depth	Mean_Depth	-0.00119221577487471	7.75570745020631e-05	139	139	2.21403200770346e-30	5.19728199294046e-27
COG0227	Mean_Depth	Mean_Depth	-0.00132820612108284	8.72622283187529e-05	139	139	3.98394500647508e-30	8.18302304329981e-27
COG0794	Mean_Depth	Mean_Depth	-0.0013670487942284	9.08297392196921e-05	139	139	7.0017992485862e-30	1.27837294725298e-26
COG0825	Mean_Depth	Mean_Depth	-0.00130869774236878	8.75192740061226e-05	139	139	1.05783104651214e-29	1.73822797562874e-26
COG0712	Mean_Depth	Mean_Depth	-0.000918371543317601	6.16053690926737e-05	139	139	1.57503787935807e-29	2.35282022123744e-26
COG1702	Mean_Depth	Mean_Depth	-0.00112283657344363	7.71888865424319e-05	139	139	1.36805897453192e-28	1.87332875579237e-25
COG0563	Mean_Depth	Mean_Depth	-0.000936039419907496	6.51478597395216e-05	139	139	3.50667936729131e-28	4.43244272025622e-25
COG1212	Mean_Depth	Mean_Depth	-0.00136790354870753	9.58275976521855e-05	139	139	4.49023798910666e-28	5.27025647407148e-25
COG3164	Mean_Temperature	Mean_Temperature	-0.110938965296656	0.00778622504672753	139	139	5.70001010686439e-28	6.24417107173305e-25
COG0735	Mean_Depth	Mean_Depth	-0.00138654373424447	9.83404829503816e-05	139	139	1.25211117017355e-27	1.28591817176824e-24
COG0854	Mean_Depth	Mean_Depth	-0.00145658510862388	0.000103223787322171	139	139	1.82083251753897e-27	1.75999528989414e-24
COG2227	Mean_Depth	Mean_Depth	-0.00160798945038533	0.000115397453892034	139	139	2.76691799349116e-27	2.52588869272482e-24
COG5630	Mean_Depth	Mean_Depth	-0.00906184876339347	0.000651272887670822	139	139	4.20334073549194e-27	3.63522605082124e-24
COG1137	Mean_Depth	Mean_Depth	-0.0011836457077272	8.54882862212526e-05	139	139	4.51167224720271e-27	3.70678991830175e-24
COG2514	Mean_Depth	Mean_Depth	0.00743630671206545	0.000538616323940893	139	139	6.41375269194112e-27	5.0186087730465e-24
COG0138	Mean_Depth	Mean_Depth	-0.00089657439173951	6.48890478142313e-05	139	139	7.46269610200953e-27	5.57395556128275e-24
COG0464	Mean_Depth	Mean_Depth	0.00461446223683805	0.000336766156634072	139	139	1.05899393308205e-26	7.56582100365404e-24
COG0199	Mean_Depth	Mean_Depth	-0.000991972438615308	7.23475898091599e-05	139	139	1.21139169920137e-26	8.29399516719872e-24
COG4742	Mean_Depth	Mean_Depth	0.0135041838461767	0.000993526665141489	139	55	1.83324878602745e-26	1.20495776208012e-23
COG0228	Mean_Depth	Mean_Depth	-0.000939833409777903	6.91831102193337e-05	139	139	2.5318351266252e-26	1.55837429790095e-23
COG0391	Mean_Depth	Mean_Depth	0.00387124559266718	0.000285818303864479	139	139	2.56061989066003e-26	1.55837429790095e-23
COG0194	Mean_Depth	Mean_Depth	-0.00103820189281387	7.71061157192309e-05	139	139	3.71957175544582e-26	2.18285725305306e-23
COG0313	Mean_Depth	Mean_Depth	-0.0012704570969281	9.42111407022395e-05	139	139	4.62868455691421e-26	2.62270843583498e-23
