feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG0016	log_depth	log_depth	-0.0374656120620018	0.000930515045614625	139	139	0	0
COG0227	log_depth	log_depth	-0.0677467321073582	0.00117218374629829	139	139	0	0
COG0279	log_depth	log_depth	0.0849377855646337	0.00176031637823033	139	139	0	0
COG0394	log_depth	log_depth	0.102832554230178	0.00180184374741014	139	139	0	0
COG0498	log_depth	log_depth	0.0600660955643471	0.00103819980129585	139	139	0	0
COG0602	log_depth	log_depth	0.151621397220474	0.00202445515639215	139	139	0	0
COG0603	log_depth	log_depth	0.195780256706553	0.00318679061241282	139	139	0	0
COG0700	log_depth	log_depth	0.268545140030283	0.00515698434764202	139	139	0	0
COG1140	log_depth	log_depth	0.777724572915593	0.0181920145434063	139	139	0	0
COG1198	log_depth	log_depth	-0.039272658801698	0.000944711145341294	139	139	0	0
COG1593	log_depth	log_depth	-0.0851249865822808	0.0019071431630106	139	139	0	0
COG1607	log_depth	log_depth	0.139245087542088	0.00328728313001512	139	139	0	0
COG1802	log_depth	log_depth	-0.252403408003854	0.00505011380094597	139	139	0	0
COG2917	log_depth	log_depth	-0.100496301483938	0.00202254054562049	139	139	0	0
COG3378	log_depth	log_depth	-0.315296962635924	0.00801694453919081	139	139	0	0
COG3511	log_depth	log_depth	0.390439549563866	0.0100266489465259	139	139	0	0
COG3654	log_depth	log_depth	0.812220817345645	0.0128300865331274	139	139	0	0
COG3754	log_depth	log_depth	-0.462718204671986	0.0082062590343416	139	139	0	0
COG3842	log_depth	log_depth	-0.0558842762306317	0.00111739244495563	139	139	0	0
COG3958	Mean_Temperature	Mean_Temperature	-0.0165267288617338	0.000324895843631114	139	139	0	0
COG3961	log_depth	log_depth	0.720021765490741	0.014023336803829	139	139	0	0
COG4261	log_depth	log_depth	0.832419104758252	0.0164145296942594	139	138	0	0
COG4274	log_depth	log_depth	-0.105963202731063	0.00254439149702613	139	139	0	0
COG4870	log_depth	log_depth	0.413582904596575	0.00685473563880674	139	139	0	0
COG5319	log_depth	log_depth	-0.0876745751103839	0.00220609241157119	139	139	0	0
COG5421	log_depth	log_depth	0.584600903464764	0.0138620915794769	139	139	0	0
COG4245	log_depth	log_depth	0.245041498990279	0.00658625055610071	139	139	5.66353953359899e-303	5.93371134542401e-300
COG1652	log_depth	log_depth	-0.16324313141896	0.00439782212252396	139	139	1.38298633952803e-301	1.39721134187746e-298
COG0590	log_depth	log_depth	-0.0477696484046378	0.00128826341641945	139	139	5.76091236427758e-301	5.61947203312704e-298
COG5429	log_depth	log_depth	0.354745422886141	0.00966529340343115	139	139	6.53715799241764e-295	6.16410417631701e-292
COG3222	log_depth	log_depth	-0.142603557138936	0.00396177081668223	139	139	1.00512634510071e-283	9.17194001619644e-281
COG4181	log_depth	log_depth	-0.0844642433674792	0.00237664882716108	139	139	1.21923124524328e-276	1.07780042079506e-273
COG3528	log_depth	log_depth	-0.263792491202629	0.00769267689281062	139	139	1.05499100024918e-257	9.04351073183299e-255
COG3145	log_depth	log_depth	-0.116364518407162	0.00347211290708756	139	139	3.01009125298204e-246	2.50439592248106e-243
COG1158	log_depth	log_depth	-0.0494280843693356	0.00151384720636682	139	139	7.846619639089e-234	6.34186218144428e-231
COG2188	log_depth	log_depth	-0.176654069407587	0.00550953149520902	139	139	1.4301412993105e-225	1.12377325208043e-222
COG0663	log_depth	log_depth	-0.0443054292171249	0.00138359284568595	139	139	5.38584263150942e-225	4.1176950367605e-222
COG0129	log_depth	log_depth	-0.0376750178521937	0.00118118829077487	139	139	3.04726544186564e-223	2.26844854788145e-220
COG0125	log_depth	log_depth	0.0442157274344888	0.00145378546743921	139	139	3.56476944129008e-203	2.58564610141574e-200
COG4564	log_depth	log_depth	0.322816134803914	0.0106407795094493	139	139	3.65733091254569e-202	2.58646442135231e-199
COG1666	log_depth	log_depth	-0.0487225452095035	0.00165302096474499	139	139	6.04892747144405e-191	4.17346488566364e-188
COG0232	log_depth	log_depth	-0.0688457079222251	0.00236749980517427	139	139	6.52209737923189e-186	4.39278787294552e-183
COG1883	log_depth	log_depth	0.145785324012875	0.0050929367826823	139	139	3.28270331004817e-180	2.15956072638704e-177
COG4977	log_depth	log_depth	-0.157821225076243	0.00552047503533485	139	139	9.38088557110705e-180	6.03105661444264e-177
COG1968	log_depth	log_depth	-0.0309188521052904	0.00111007684540117	139	139	9.93636051026458e-171	6.24621702476366e-168
COG3931	log_depth	log_depth	-0.0774609981064862	0.00281404240703504	139	139	8.43853628472043e-167	5.18933292222112e-164
COG1131	log_depth	log_depth	0.0329620899463743	0.00120027630763929	139	139	4.98359113703182e-166	2.99948566136928e-163
COG0468	log_depth	log_depth	0.0353942788619767	0.00130279710171644	139	139	1.55557777789881e-162	9.16753837108368e-160
COG1651	log_depth	log_depth	-0.0440073654611419	0.00162867330111057	139	139	8.51717510115425e-161	4.91701733186636e-158
COG3857	log_depth	log_depth	0.248333444451805	0.00923214287465871	139	139	2.26915996071539e-159	1.28379993937434e-156
COG1176	log_depth	log_depth	-0.0425413818658765	0.00158804586165465	139	139	4.39807695672179e-158	2.43946668532835e-155
COG0513	log_depth	log_depth	-0.0379860830172127	0.00142646760756912	139	139	3.09441462540316e-156	1.68336155621932e-153
COG0048	log_depth	log_depth	0.0251713993487256	0.000948283905567284	139	139	2.9995709139899e-155	1.60097852858389e-152
COG1295	log_depth	log_depth	0.112294036753154	0.00423334297406342	139	139	4.8482975394628e-155	2.53978964437636e-152
COG0730	log_depth	log_depth	-0.0371763414197602	0.00140819213073656	139	139	1.36839098743425e-153	7.03800804591638e-151
COG4784	log_depth	log_depth	-0.0750094922417402	0.00290153093785709	139	139	2.32864960765199e-147	1.17630071609392e-144
COG2025	log_depth	log_depth	0.0397286001772092	0.00154444646402228	139	139	6.37873049556325e-146	3.16564084664023e-143
COG4249	log_depth	log_depth	-0.083823703012004	0.00327936090792976	139	139	4.1446996988416e-144	2.02147008760054e-141
COG2171	log_depth	log_depth	-0.0471908720392949	0.00189431169539529	139	139	5.53144901242364e-137	2.65209541802441e-134
COG3010	log_depth	log_depth	-0.186449625528195	0.00749075371588165	139	139	9.39692135257953e-137	4.4303351870295e-134
COG0416	Mean_Oxygen	Mean_Oxygen	-0.00104557836281778	4.25077826664575e-05	139	139	1.3487601566334e-133	6.25470939522058e-131
COG2949	log_depth	log_depth	-0.299815654186269	0.0122037881719984	139	139	2.81725179951414e-133	1.2853938533009e-130
COG1376	log_depth	log_depth	-0.166191661966878	0.00687972126003051	139	139	6.34258840396744e-129	2.84792286938779e-126
COG2390	log_depth	log_depth	-0.149358047572701	0.00618532377753447	139	139	7.99621612971994e-129	3.53432752933622e-126
COG3023	log_depth	log_depth	-0.043390605461598	0.00179898165583376	139	139	1.55943374696681e-128	6.78665566679956e-126
COG1558	log_depth	log_depth	-0.0846288345928697	0.00351010567033118	139	139	1.96094215536771e-128	8.40471692288512e-126
