feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG3080	log_depth	log_depth	2.7464934374899	0.242915061298881	139	83	8.34257058382941e-21	2.04476405009659e-16
COG4552	log_depth	log_depth	1.31283680373451	0.119249422000453	139	139	4.42165409430915e-20	5.41873709257586e-16
COG2514	log_depth	log_depth	1.20012211452062	0.110910354519234	139	139	1.27361457067076e-19	1.04054310423801e-15
COG1921	log_depth	log_depth	0.583009000799638	0.0541719141136355	139	139	1.76797691937359e-19	1.08332785734616e-15
COG1546	Mean_Temperature	Mean_Temperature	0.0200030608582919	0.0018922302810427	139	139	5.16328844731954e-19	1.81802886789877e-15
COG2706	log_depth	log_depth	0.866552628006722	0.0823194323583818	139	139	6.62489676933156e-19	1.81802886789877e-15
COG4742	log_depth	log_depth	3.11209280187787	0.29567070928024	139	55	6.66856581795013e-19	1.81802886789877e-15
COG4745	log_depth	log_depth	1.45101675723237	0.137859314105768	139	130	6.67574859693551e-19	1.81802886789877e-15
COG5427	log_depth	log_depth	1.50796355482574	0.142514722351702	139	131	4.88300388223216e-19	1.81802886789877e-15
COG1856	Mean_Oxygen	Mean_Oxygen	-0.0192769967331038	0.00183565544443846	139	122	7.63396105421531e-19	1.87108385438817e-15
COG1150	Mean_Oxygen	Mean_Oxygen	-0.0215161902571978	0.00205669359397281	139	126	9.54671982565327e-19	2.12718275387965e-15
COG1118	log_depth	log_depth	0.730010935070759	0.0698984849911436	139	139	1.05408152350097e-18	2.15296151175073e-15
COG1307	log_depth	log_depth	1.13243573859996	0.109129288663361	139	139	1.53329898650218e-18	2.8253261503714e-15
COG2044	Mean_Oxygen	Mean_Oxygen	-0.0194752947341936	0.00187842644473318	139	124	1.61381338658505e-18	2.8253261503714e-15
COG2141	log_depth	log_depth	0.582750998195777	0.0563364620276301	139	139	1.84361656446044e-18	3.01246946632836e-15
COG1833	Mean_Oxygen	Mean_Oxygen	-0.0176061115480533	0.00171098840822801	139	135	2.49618597819175e-18	3.82384489534248e-15
COG1812	log_depth	log_depth	2.68228821568177	0.263378302698154	139	82	4.51540526832305e-18	6.51015194862341e-15
COG3458	log_depth	log_depth	1.16698624029931	0.115950143469248	139	139	8.81729944506097e-18	1.2006222744358e-14
COG0397	Mean_Oxygen	Mean_Oxygen	0.00395786226980899	0.000394430472402796	139	139	1.04381359325172e-17	1.23566644445327e-14
COG1545	log_depth	log_depth	0.530921871625258	0.0529512863771966	139	139	1.09011262390776e-17	1.23566644445327e-14
COG1699	log_depth	log_depth	0.848112768167519	0.0844060884126448	139	137	9.67210607813914e-18	1.23566644445327e-14
COG2164	log_depth	log_depth	1.26566228053647	0.126269285735407	139	135	1.10912532753863e-17	1.23566644445327e-14
COG2223	Mean_Oxygen	Mean_Oxygen	-0.0162720355693569	0.00163503081705306	139	139	1.65290365761245e-17	1.76142037600353e-14
COG0824	log_depth	log_depth	-0.129568417938156	0.0130305047420126	139	139	1.73482547945892e-17	1.77169052089743e-14
COG3824	log_depth	log_depth	1.32475865572716	0.133976492086347	139	139	2.36488074827124e-17	2.31852908560513e-14
COG1461	log_depth	log_depth	1.05972524313739	0.107321270749028	139	139	2.55238801920747e-17	2.40611655195289e-14
COG3276	log_depth	log_depth	0.596329675704255	0.0609609345785582	139	139	4.26864164438288e-17	3.87497802606757e-14
COG3973	log_depth	log_depth	1.07017840368287	0.109644269880322	139	138	4.81778166388934e-17	4.21727959221171e-14
COG3569	log_depth	log_depth	0.901524037819567	0.0925156078417334	139	139	5.26428058183832e-17	4.44922472623645e-14
COG4759	log_depth	log_depth	1.17630459715493	0.121484990270565	139	138	7.43047072997786e-17	6.07069458639191e-14
COG4324	log_depth	log_depth	0.72450036047904	0.0755342558569594	139	139	1.23347288531899e-16	9.75239368360271e-14
COG1514	log_depth	log_depth	0.929683662377419	0.0977006792461498	139	139	1.88277909827461e-16	1.44209111558471e-13
COG3029	log_depth	log_depth	2.8080299994336	0.295336865134603	139	67	1.96557286738804e-16	1.45988457514184e-13
COG0344	Mean_Temperature	Mean_Temperature	0.023615271195049	0.0025042723673799	139	139	3.02966058555493e-16	2.18402885152798e-13
COG1030	log_depth	log_depth	0.655371731326946	0.0697193384291548	139	139	3.57555006103194e-16	2.36856032421332e-13
COG1682	log_depth	log_depth	0.409287746475107	0.0435395443111215	139	139	3.57107995077964e-16	2.36856032421332e-13
COG1920	log_depth	log_depth	0.772726236388347	0.082141738884743	139	139	3.43766141733552e-16	2.36856032421332e-13
COG3663	log_depth	log_depth	0.802902460087217	0.0854729190042206	139	139	3.70675860779404e-16	2.39085930202716e-13
COG2235	log_depth	log_depth	0.909193381380887	0.0971228472838899	139	139	4.43591736714323e-16	2.78780345304309e-13
COG1260	log_depth	log_depth	0.769530303344256	0.0823842714963441	139	139	4.97066627840154e-16	3.04577576209055e-13
COG0825	log_depth	log_depth	-0.189124874151211	0.0204879252852389	139	139	9.12591918493376e-16	5.08355180051651e-13
COG1626	log_depth	log_depth	0.740761442769584	0.0801926173019856	139	139	8.81636577234795e-16	5.08355180051651e-13
COG3476	Mean_Oxygen	Mean_Oxygen	0.00745217780310957	0.000806883750565269	139	139	8.89111905980003e-16	5.08355180051651e-13
COG3859	log_depth	log_depth	2.04456344872446	0.221416478003443	139	102	8.97688081306412e-16	5.08355180051651e-13
COG1837	log_depth	log_depth	0.852688172119027	0.0924348231567177	139	137	9.44912266549507e-16	5.14662214513965e-13
COG3273	log_depth	log_depth	1.41036972108125	0.153020627563627	139	128	9.87070632741547e-16	5.25936982793376e-13
COG0311	log_depth	log_depth	0.712552567035601	0.0774206032857355	139	139	1.0618588293395e-15	5.53748083130025e-13
COG1202	log_depth	log_depth	2.51608636984183	0.274309083962922	139	80	1.26181341335545e-15	6.34694081248073e-13
COG3640	Mean_Oxygen	Mean_Oxygen	-0.0194930108202299	0.00212540327893111	139	137	1.2688702562691e-15	6.34694081248073e-13
