feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG3080	log_depth	log_depth	2.71957667479549	0.227440954602907	139	83	2.76173661157645e-22	6.74747488940357e-18
COG4552	log_depth	log_depth	1.34982386411522	0.11478272066873	139	139	8.25790229240287e-22	1.00878534403993e-17
COG1921	log_depth	log_depth	0.620498262362827	0.0541169308580833	139	139	4.22701992285849e-21	3.44248502517596e-17
COG1118	log_depth	log_depth	0.763736756913103	0.0700763960707715	139	139	9.92818417522821e-20	6.06413489422939e-16
COG1545	log_depth	log_depth	0.55485987937565	0.0516625790273331	139	139	2.40008002233148e-19	1.17277510211205e-15
COG2141	log_depth	log_depth	0.585463856749089	0.0548114554191819	139	139	3.32688265277991e-19	1.35470661621198e-15
COG2514	log_depth	log_depth	1.18870671400398	0.1122696588829	139	139	5.59678344959473e-19	1.79518198419866e-15
COG3824	log_depth	log_depth	1.42561998166864	0.134757548673816	139	139	5.87813354354504e-19	1.79518198419866e-15
COG1699	log_depth	log_depth	0.917125004957717	0.0873859459244571	139	137	9.38284109577004e-19	2.54712859613171e-15
COG4745	log_depth	log_depth	1.47933455406319	0.14178950127626	139	130	1.32322990136689e-18	3.2329152950196e-15
COG0824	log_depth	log_depth	-0.133381837694008	0.0128302984790957	139	139	1.62983250968022e-18	3.62000617059155e-15
COG1307	log_depth	log_depth	1.2034953344725	0.115967903760682	139	139	1.80161360819129e-18	3.66808530627747e-15
COG3029	log_depth	log_depth	2.79458174760711	0.272893176535786	139	67	3.86439685660863e-18	7.26268800005092e-15
COG3276	log_depth	log_depth	0.639337110267327	0.0628096568249125	139	139	5.44197890441348e-18	9.49703061375929e-15
COG0226	log_PO4	log_PO4	-0.753126792043886	0.0741904535426559	139	139	6.34721546160205e-18	1.03383445438574e-14
COG0306	log_PO4	log_PO4	0.331961249337956	0.032898921178123	139	139	8.90276323931073e-18	1.35945194664275e-14
COG4324	log_depth	log_depth	0.793536963077177	0.0787465376377428	139	139	9.58162140093784e-18	1.37704808275125e-14
COG0825	log_depth	log_depth	-0.202549891372318	0.0203182621561054	139	139	1.74711660386187e-17	1.85589360285014e-14
COG1626	log_depth	log_depth	0.776569039069201	0.0777970532220603	139	139	1.62441796032491e-17	1.85589360285014e-14
COG1682	log_depth	log_depth	0.44018046135991	0.0440602284238799	139	139	1.55010019390316e-17	1.85589360285014e-14
COG2164	log_depth	log_depth	1.29022706106704	0.12917058785391	139	135	1.56630768170776e-17	1.85589360285014e-14
COG3569	log_depth	log_depth	0.900775053316661	0.0903146234997223	139	139	1.70039618286387e-17	1.85589360285014e-14
COG4759	log_depth	log_depth	1.25945530786132	0.125817870623007	139	138	1.38943942400677e-17	1.85589360285014e-14
COG3458	log_depth	log_depth	1.17487671213385	0.117964589753223	139	139	1.83948702232798e-17	1.87259778872988e-14
COG1461	log_depth	log_depth	1.12615596964046	0.113334813615318	139	139	2.09011279797833e-17	1.97668495794336e-14
COG1920	log_depth	log_depth	0.795362564140161	0.0800535190386016	139	139	2.10354489630515e-17	1.97668495794336e-14
COG1117	log_PO4	log_PO4	-0.647285985038542	0.0655385722893247	139	139	2.91705817916934e-17	2.63961353457279e-14
COG3920	log_depth	log_depth	0.951516576550599	0.0968772039916243	139	139	3.94612384720406e-17	3.44327492267463e-14
COG1812	log_depth	log_depth	2.65416486927165	0.270473305963375	139	82	4.14428546186022e-17	3.49148904841962e-14
COG3973	log_depth	log_depth	1.15864376418875	0.11876497454844	139	138	5.69084885712981e-17	4.63462730924651e-14
COG0412	log_depth	log_depth	0.318542205987219	0.032795299119886	139	139	7.2089955591823e-17	5.50406810943568e-14
COG3663	log_depth	log_depth	0.810283491354535	0.0834086310204888	139	139	7.14626939061979e-17	5.50406810943568e-14
COG0581	log_PO4	log_PO4	-0.681156397876159	0.0703194674856049	139	139	8.3448846110135e-17	5.74636212497371e-14
COG1260	log_depth	log_depth	0.812133447644191	0.0838713192530101	139	139	8.50843540832857e-17	5.74636212497371e-14
