feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG0513	Mean_Temperature	Mean_Temperature	-0.0395365188167444	0.00446299228316784	139	139	5.30686259422615e-14	1.14192940127698e-09
COG1546	Mean_Temperature	Mean_Temperature	0.0213056257104339	0.00245024326038286	139	139	1.17436032217678e-13	1.14192940127698e-09
COG3484	Mean_Temperature	Mean_Temperature	0.257312840693493	0.0297138050188571	139	139	1.39600171305255e-13	1.14192940127698e-09
COG2308	Mean_Temperature	Mean_Temperature	0.225986793300749	0.0274375235693951	139	139	1.0845459410826e-12	5.3229514788334e-09
COG4206	Mean_Temperature	Mean_Temperature	-0.0542784233806754	0.00656713133540181	139	139	9.4391381711092e-13	5.3229514788334e-09
COG2144	Mean_Temperature	Mean_Temperature	0.327678765879671	0.040067410586316	139	138	1.4365295149202e-12	5.87540571602362e-09
COG4137	Mean_Temperature	Mean_Temperature	-0.100023249764185	0.0126143003585807	139	139	4.7594357703987e-12	1.66852219722263e-08
COG1118	log_depth	log_depth	0.711829619655375	0.0909132255479552	139	139	7.67428472902475e-12	2.18751685820137e-08
COG1407	Mean_Temperature	Mean_Temperature	0.103794195260919	0.0133094934246365	139	139	8.91408662673744e-12	2.18751685820137e-08
COG3769	Mean_Temperature	Mean_Temperature	0.142571157896991	0.0182625546455632	139	139	8.56917980149838e-12	2.18751685820137e-08
COG3164	Mean_Temperature	Mean_Temperature	-0.0854878962761471	0.0110366936594041	139	139	1.14723691265686e-11	2.55938125787267e-08
COG3484	Absolute_Latitude	Absolute_Latitude	0.0957884805227879	0.0125495435396895	139	139	1.96775299209764e-11	4.02405486883968e-08
COG1236	Mean_Temperature	Mean_Temperature	0.0773364450738458	0.0103381589136828	139	139	4.05948737337685e-11	7.28759520414355e-08
COG4889	sqrt_iron	sqrt_iron	-0.620690907627303	0.0830283242268037	139	139	4.15755227620251e-11	7.28759520414355e-08
COG1171	log_depth	log_depth	-0.132295454629884	0.0179061937263142	139	139	6.2930472407286e-11	9.31463825786301e-08
COG3488	Mean_Temperature	Mean_Temperature	-0.11283863540888	0.0152836544360853	139	139	6.45268338971765e-11	9.31463825786301e-08
COG5427	log_depth	log_depth	1.3942522379091	0.188696466379909	139	131	6.27484920423732e-11	9.31463825786301e-08
COG1307	log_depth	log_depth	1.24155235216923	0.169208267495509	139	139	8.0045282721615e-11	1.04889256459803e-07
COG2307	Mean_Temperature	Mean_Temperature	0.192152964854231	0.026198987259582	139	139	8.12101007634984e-11	1.04889256459803e-07
COG3956	Mean_Temperature	Mean_Temperature	0.148572761764303	0.0202944720499087	139	135	8.65690155004015e-11	1.06220182018993e-07
COG4457	Mean_Temperature	Mean_Temperature	-0.138148459585627	0.0189153636756027	139	139	9.3962111533508e-11	1.09801438906299e-07
COG2235	log_depth	log_depth	1.00439068313072	0.138781896187344	139	139	1.28485683132177e-10	1.26121546562545e-07
COG2976	Mean_Temperature	Mean_Temperature	-0.0942543402547432	0.0129762031564994	139	139	1.13423670792619e-10	1.26121546562545e-07
COG4635	sqrt_iron	sqrt_iron	-1.3148643985193	0.181511015495562	139	139	1.24429932876261e-10	1.26121546562545e-07
COG4745	log_depth	log_depth	1.24726300304777	0.172113288678818	139	130	1.2281914131192e-10	1.26121546562545e-07
COG0378	Mean_Temperature	Mean_Temperature	0.140047029452122	0.0193842203140686	139	139	1.3621245344511e-10	1.28563600290115e-07
COG2969	Mean_Temperature	Mean_Temperature	-0.131901637645006	0.0183189044976308	139	139	1.52867035499033e-10	1.38939150042455e-07
COG3134	Mean_Temperature	Mean_Temperature	-0.177013392226556	0.0247478062575474	139	139	1.9123628555342e-10	1.67604944552891e-07
COG0804	Mean_Temperature	Mean_Temperature	0.142325239988742	0.0199496093849689	139	139	2.08555196806869e-10	1.76480845849674e-07
COG2861	log_depth	log_depth	0.649669300372323	0.0913599361870595	139	139	2.32487726777997e-10	1.90174960504402e-07
COG1737	Mean_Temperature	Mean_Temperature	-0.106269150739914	0.0150126130353701	139	139	2.70687341574235e-10	2.14279592330056e-07
COG0366	Mean_Temperature	Mean_Temperature	0.0665356029910671	0.00944682114599411	139	139	3.19629903422361e-10	2.45116182187023e-07
COG0488	Mean_Temperature	Mean_Temperature	-0.037053069815823	0.00527884555336118	139	139	3.57632020719613e-10	2.65948175407858e-07
COG4552	log_depth	log_depth	1.16307488353316	0.166411423005636	139	139	4.11476978733313e-10	2.96989560532809e-07
COG1202	log_depth	log_depth	2.78724850217181	0.400417130159004	139	80	4.69571680132251e-10	3.03244448169617e-07
COG1921	log_depth	log_depth	0.458496314223379	0.0658313657222778	139	139	4.61218372267415e-10	3.03244448169617e-07
COG2188	Mean_Temperature	Mean_Temperature	-0.11637595148098	0.016682254243962	139	139	4.37475157585121e-10	3.03244448169617e-07
COG4623	Mean_Temperature	Mean_Temperature	-0.0714143797960878	0.0102536327544546	139	139	4.61048369434188e-10	3.03244448169617e-07
COG1787	Mean_Temperature	Mean_Temperature	0.209556685729167	0.0301767568893662	139	139	5.07264678089654e-10	3.19186543597951e-07
COG1461	log_depth	log_depth	1.16358105975085	0.167712525652668	139	139	5.22525498149219e-10	3.20569393114546e-07
COG0344	Mean_Temperature	Mean_Temperature	0.0259114221500879	0.0037391299404795	139	139	5.42754142833291e-10	3.24858211344609e-07
COG0824	log_depth	log_depth	-0.0807793880637636	0.0116755485171442	139	139	5.71611399089317e-10	3.33984374610758e-07
COG1107	log_depth	log_depth	2.61316586112883	0.380188132185105	139	88	7.05847604152501e-10	3.93670459225054e-07
COG4993	log_depth	log_depth	0.485514594039814	0.0706346923314346	139	139	7.05026930848517e-10	3.93670459225054e-07
COG3489	Mean_Temperature	Mean_Temperature	-0.267367435945351	0.0391561426601854	139	138	8.70373492001311e-10	4.74643677638048e-07
COG2308	Absolute_Latitude	Absolute_Latitude	0.0783644613045628	0.0114854814221924	139	139	8.92134030482888e-10	4.75934111044567e-07
COG4559	sqrt_iron	sqrt_iron	-1.3983935072425	0.205327971306444	139	139	9.44850487503427e-10	4.9333257368796e-07
COG2141	log_depth	log_depth	0.43475675695575	0.063965448295851	139	139	1.0072252770733e-09	5.04434863252629e-07
COG3542	Mean_Temperature	Mean_Temperature	0.0939883395693612	0.0138272773804183	139	139	1.00456921734181e-09	5.04434863252629e-07
COG5015	log_depth	log_depth	1.68380308506851	0.248088632620493	139	94	1.05323058800743e-09	5.16925572594045e-07
COG2265	Mean_Temperature	Mean_Temperature	-0.0597206187375618	0.00880525983513493	139	139	1.07652146893639e-09	5.17996800935274e-07
COG1574	Mean_Temperature	Mean_Temperature	-0.0729990925038253	0.0107809665823137	139	139	1.13419007996793e-09	5.35250472354098e-07
COG3161	Mean_Temperature	Mean_Temperature	-0.0854763845369059	0.0126478971739565	139	139	1.20427676138487e-09	5.57602862724238e-07
COG0609	sqrt_iron	sqrt_iron	-0.938099011814676	0.139127297644478	139	139	1.29323050515809e-09	5.66712082081778e-07
COG1545	log_depth	log_depth	0.445042175796295	0.0659572086940812	139	139	1.26543774664029e-09	5.66712082081778e-07
COG1592	sqrt_iron	sqrt_iron	0.851024068445094	0.126173550235469	139	139	1.28055718785327e-09	5.66712082081778e-07
COG0825	log_depth	log_depth	-0.121720364839004	0.0180769093172202	139	139	1.34981814505502e-09	5.71112711718108e-07
COG5618	log_depth	log_depth	1.35221928100771	0.200726845495103	139	134	1.33036218805757e-09	5.71112711718108e-07
COG2159	log_depth	log_depth	0.609433422901381	0.0906827913211301	139	139	1.43319447176635e-09	5.76567087494198e-07
COG2247	log_depth	log_depth	1.61204865027696	0.239668494929902	139	116	1.39619524600717e-09	5.76567087494198e-07
COG5598	Mean_Temperature	Mean_Temperature	-0.0959492134772795	0.0142745705757407	139	139	1.42533138696177e-09	5.76567087494198e-07
COG1760	Mean_Temperature	Mean_Temperature	-0.101836784241826	0.0151743126245995	139	139	1.4965351971178e-09	5.82936091067789e-07
COG4766	Mean_Temperature	Mean_Temperature	-0.170056985996464	0.0253337980452886	139	137	1.48605332802352e-09	5.82936091067789e-07
COG2250	log_depth	log_depth	1.16281052917413	0.173942879059554	139	129	1.68814649455599e-09	6.37340230406214e-07
COG4558	sqrt_iron	sqrt_iron	-1.47934105934032	0.221191082035298	139	139	1.66453769054841e-09	6.37340230406214e-07
COG0681	Mean_Temperature	Mean_Temperature	0.0186012299786423	0.00280230005007793	139	139	2.09774190894173e-09	7.6649641272346e-07
COG0832	Mean_Temperature	Mean_Temperature	0.128663432208535	0.0193912028896525	139	139	2.12395093990201e-09	7.6649641272346e-07
COG2878	Mean_Temperature	Mean_Temperature	-0.107795444268368	0.0162375632992112	139	139	2.090009066186e-09	7.6649641272346e-07
COG2226	log_depth	log_depth	-0.106218822144355	0.0160736060399257	139	139	2.40315309460082e-09	8.54686622340638e-07
COG0830	Mean_Temperature	Mean_Temperature	0.130427121671897	0.0197483076606825	139	139	2.44552222922799e-09	8.57330221503642e-07
COG4458	Mean_Temperature	Mean_Temperature	-0.173639605334385	0.0263843553138379	139	138	2.72173278302314e-09	9.40722852047718e-07
COG0829	Mean_Temperature	Mean_Temperature	0.126961397459496	0.0193332406279355	139	139	2.9043036862612e-09	9.89883506400693e-07
COG0415	log_depth	log_depth	-0.266180478629522	0.04072358125479	139	139	3.34325798244155e-09	1.12388425875501e-06
COG1189	Mean_Temperature	Mean_Temperature	0.0871170661499438	0.0133508758698613	139	139	3.51712318242438e-09	1.16635409319857e-06
COG0478	log_depth	log_depth	2.79391674062236	0.429309135417784	139	61	3.80592587790146e-09	1.24529894724936e-06
COG0831	Mean_Temperature	Mean_Temperature	0.124918415573269	0.0192201675904096	139	139	3.95840673798908e-09	1.278148701977e-06
COG3653	log_depth	log_depth	0.380175134539933	0.0585487215350511	139	139	4.0689247330528e-09	1.29677159674176e-06
COG0432	Mean_Temperature	Mean_Temperature	0.0281732740721044	0.00435525731859562	139	139	4.55068489177915e-09	1.43171547749052e-06
COG0561	log_depth	log_depth	0.619945283336614	0.0962620140827929	139	139	5.18457002165757e-09	1.58094466346847e-06
COG3363	log_depth	log_depth	2.94862836586126	0.457949494792115	139	55	5.21827700655851e-09	1.58094466346847e-06
COG4230	Mean_Temperature	Mean_Temperature	-0.0761408525381631	0.0118194335341835	139	139	5.14178855549004e-09	1.58094466346847e-06
COG1561	Mean_Temperature	Mean_Temperature	-0.0499210879750705	0.0077605715850954	139	139	5.36543010478616e-09	1.60570310696893e-06
COG3217	Mean_Temperature	Mean_Temperature	-0.0542712972085978	0.00844080596946581	139	139	5.43974499198328e-09	1.60832942293096e-06
COG0483	Mean_Temperature	Mean_Temperature	0.0151928971804401	0.00236994957397138	139	139	5.9307228590273e-09	1.71223457600623e-06
COG1414	Mean_Temperature	Mean_Temperature	-0.0712236600184571	0.011108794648451	139	139	5.9085263866268e-09	1.71223457600623e-06
COG0181	log_depth	log_depth	-0.128540709166909	0.0201108974509037	139	139	6.46702321865415e-09	1.84535755564852e-06
COG0388	Mean_Temperature	Mean_Temperature	0.0362608402496045	0.00569814038214035	139	139	7.34244306587506e-09	2.07107531996062e-06
COG3526	log_depth	log_depth	0.704137493583099	0.110722003736853	139	139	7.48089148297916e-09	2.08614860218532e-06
COG1201	Mean_Temperature	Mean_Temperature	0.0715053152499823	0.0112550875804168	139	139	7.69952089795932e-09	2.11607495045622e-06
COG1305	Mean_Temperature	Mean_Temperature	0.109695015311124	0.0172709706992447	139	139	7.76066607746779e-09	2.11607495045622e-06
COG3489	Absolute_Latitude	Absolute_Latitude	-0.103289976139261	0.0162947703405469	139	138	8.21544734135324e-09	2.21546239293196e-06
COG2329	sqrt_iron	sqrt_iron	-0.757955273073572	0.119760801148192	139	139	8.59340447029533e-09	2.29219723588095e-06
COG1640	Mean_Temperature	Mean_Temperature	0.1013682387301	0.0160430384140841	139	139	9.00717879464972e-09	2.37673298516886e-06
COG0194	log_depth	log_depth	-0.0974313652159822	0.0154274887850191	139	139	9.13355254892859e-09	2.38444020798625e-06
COG3202	Mean_Temperature	Mean_Temperature	-0.0561892651070283	0.00890140709941739	139	139	9.25986772923555e-09	2.39197004289937e-06
COG2915	Mean_Temperature	Mean_Temperature	-0.11110680756161	0.0176306499814401	139	139	9.70968044693469e-09	2.48203706424768e-06
COG3346	log_depth	log_depth	-0.321631855660943	0.0510755242615258	139	139	9.91951052178441e-09	2.50953389901639e-06
