feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG0226	log_PO4	log_PO4	-0.97496655303343	0.128187700678532	139	139	4.19606047962544e-11	4.35282122782207e-09
COG0573	log_PO4	log_PO4	-1.06261960926934	0.143161223125692	139	139	9.46265484309145e-11	4.35282122782207e-09
COG0581	log_PO4	log_PO4	-1.02215987477416	0.137307366269091	139	139	8.42629021754259e-11	4.35282122782207e-09
COG1117	log_PO4	log_PO4	-0.943318241813795	0.124694870095605	139	139	4.99688845449302e-11	4.35282122782207e-09
COG0704	log_PO4	log_PO4	-1.08847873399841	0.154558800576349	139	139	5.24163656978768e-10	1.92892225768187e-08
COG1134	log_depth	log_depth	0.441381475370694	0.0753598943285794	139	139	1.00499438668901e-07	3.08198278584631e-06
COG3624	log_PO4	log_PO4	-2.04447385151615	0.378346052805763	139	138	6.2430734597495e-07	1.64103645227701e-05
COG3625	log_PO4	log_PO4	-2.02007026573916	0.38313338544559	139	138	1.05221744135924e-06	2.37623538113666e-05
COG4107	log_PO4	log_PO4	-1.91001599326357	0.36400083635291	139	139	1.16228904512119e-06	2.37623538113666e-05
COG3627	log_PO4	log_PO4	-1.91226464006246	0.367826404132599	139	139	1.45764790019611e-06	2.68207213636084e-05
COG4778	log_PO4	log_PO4	-1.80495152317376	0.350629530004696	139	139	1.74013945561211e-06	2.91077872575117e-05
COG3626	log_PO4	log_PO4	-1.82929087212386	0.370108742694157	139	139	3.95331672718683e-06	5.59546367540289e-05
COG1392	log_PO4	log_PO4	0.622501456656412	0.125720649108791	139	139	3.81648214209135e-06	5.59546367540289e-05
COG3709	log_PO4	log_PO4	-1.55679865930756	0.317039630567426	139	139	4.48943379285638e-06	5.90039869918267e-05
COG3454	log_PO4	log_PO4	-1.52168735824321	0.313982527551088	139	139	5.77603032273568e-06	7.08526386255576e-05
COG3639	log_PO4	log_PO4	-0.551125415708995	0.115292387550724	139	139	7.4966761851569e-06	8.62117761293043e-05
COG3638	log_PO4	log_PO4	-0.379017439048493	0.0935665143037494	139	139	0.000115158732687831	0.00124642393026829
COG3221	log_PO4	log_PO4	-0.332500791984484	0.0852711326879259	139	139	0.000196000471453079	0.0020035603748537
COG1840	Mean_Temperature	Mean_Temperature	0.0172746816528189	0.00370135369025676	139	139	0.000443769439192382	0.00429755667428412
COG0581	Mean_Temperature	Mean_Temperature	0.0631271016063837	0.0179178060188792	139	139	0.000699154103530578	0.006279493332909
COG1134	Mean_Oxygen	Mean_Oxygen	-0.00520074515552247	0.00147970413336312	139	139	0.000716681304299396	0.006279493332909
COG3639	log_NO2NO3	log_NO2NO3	0.221175741219884	0.0699409322386896	139	139	0.002187093084056	0.0180945281794301
COG0704	Mean_Salinity	Mean_Salinity	0.19970000246827	0.063336881916136	139	139	0.00226181602242876	0.0180945281794301
COG0226	Mean_Temperature	Mean_Temperature	0.0509704367613024	0.0168224752235769	139	139	0.00327385073670587	0.025099522314745
COG0226	Mean_Salinity	Mean_Salinity	0.154084490996664	0.052536816466157	139	139	0.00436333716031444	0.0308790014422252
COG0573	Mean_Temperature	Mean_Temperature	0.0553264899959872	0.0187865304117639	139	139	0.00419576332957599	0.0308790014422252
COG0704	sqrt_iron	sqrt_iron	0.749126138299216	0.263992327041408	139	139	0.00572201212498951	0.0389944529999285
COG2764	size_fraction	0.22-3	1.63444792315375	0.584703278183841	139	139	0.00643883347603167	0.0423123342710652
COG3638	size_fraction	0.22-3	-0.432149051906123	0.156714271048388	139	139	0.00718100082883175	0.0445257623352504
COG1840	sqrt_iron	sqrt_iron	-0.144829767069578	0.0526097536193891	139	139	0.00725963516335604	0.0445257623352504
COG3639	Mean_Oxygen	Mean_Oxygen	-0.00551939461810979	0.00203371041302138	139	139	0.00811274100654372	0.0472251831401432
COG1840	Mean_Oxygen	Mean_Oxygen	0.00149123403722548	0.0005476494579315	139	139	0.00821307532872056	0.0472251831401432
