feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG0226	log_PO4	log_PO4	-1.17544728876889	0.0900043529204573	139	139	7.34521798513074e-25	4.22350034145017e-23
COG1117	log_PO4	log_PO4	-1.08943777423966	0.082725661302821	139	139	4.04803506020201e-25	4.22350034145017e-23
COG0573	log_PO4	log_PO4	-1.23501315421815	0.0956430509270268	139	139	1.63955881195291e-24	6.2849754458195e-23
COG0581	log_PO4	log_PO4	-1.15274646714905	0.0927529042706292	139	139	2.33151723039787e-23	6.70311203739386e-22
COG0704	log_PO4	log_PO4	-1.1846100680778	0.118148814499852	139	139	1.37091726114681e-17	3.15310970063767e-16
COG1392	log_PO4	log_PO4	0.67109790392503	0.0694069116916486	139	139	9.85986600045097e-17	1.88980765008644e-15
COG3627	log_PO4	log_PO4	-1.85664727943567	0.203472788638907	139	139	1.95755512428613e-15	3.21598341847007e-14
COG4107	log_PO4	log_PO4	-1.88885930651254	0.208089841317687	139	139	2.54004271362676e-15	3.65131140083846e-14
COG1840	Mean_Temperature	Mean_Temperature	0.0324877192755544	0.00360528362363696	139	139	3.64180910334374e-15	4.65342274316144e-14
COG3624	log_PO4	log_PO4	-1.93480608723027	0.217020417897473	139	138	6.13998342558803e-15	6.61673233889468e-14
COG3625	log_PO4	log_PO4	-1.96208220943958	0.220217452320541	139	138	6.32904832416013e-15	6.61673233889468e-14
COG3454	log_PO4	log_PO4	-1.48500019583177	0.17349084230701	139	139	4.22975052449713e-14	4.05351091930975e-13
COG3626	log_PO4	log_PO4	-1.76782476998361	0.207165995915121	139	139	4.87137792964609e-14	4.30929586084077e-13
COG4778	log_PO4	log_PO4	-1.67889046409745	0.202443949439877	139	139	1.77419526197179e-13	1.45737467947683e-12
COG1134	log_depth	log_depth	0.463610581360168	0.0573828674865032	139	139	5.56287332823625e-13	4.26486955164779e-12
COG3709	log_PO4	log_PO4	-1.47243613160608	0.187234496934862	139	139	1.74156958422511e-12	1.2517531386618e-11
COG3638	log_PO4	log_PO4	-0.389077149665118	0.052988868515062	139	139	2.66214157943391e-11	1.80086048020529e-10
COG1840	Mean_Oxygen	Mean_Oxygen	0.00243126195776203	0.000356064320429967	139	139	3.67288645396472e-10	2.34656634558857e-09
COG3221	log_PO4	log_PO4	-0.324417479475702	0.0539796988625989	139	139	2.01502302556624e-08	1.21961919968483e-07
COG2764	log_depth	log_depth	1.43760845060871	0.250775090701526	139	139	7.4050845435812e-08	4.25792361255919e-07
COG3639	log_PO4	log_PO4	-0.386681164427262	0.0702940156099411	139	139	2.14359410438325e-07	1.17387296192416e-06
COG1653	log_depth	log_depth	-0.18904015573539	0.0365236410374635	139	139	9.13914055209973e-07	4.77727801587031e-06
COG4985	log_PO4	log_PO4	-0.861340086964255	0.166759381723379	139	139	9.57619874138576e-07	4.78809937069288e-06
COG1840	log_depth	log_depth	-0.173526185569556	0.0362358365916985	139	139	4.80177959215637e-06	2.30085272124159e-05
COG0395	log_depth	log_depth	-0.172153044296258	0.0363531146692529	139	139	5.99564304627165e-06	2.65191903969708e-05
COG1392	log_depth	log_depth	0.401520359656495	0.0846865336463421	139	139	5.85577721108903e-06	2.65191903969708e-05
