feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG1840	Mean_Temperature	Mean_Temperature	0.0336954930060195	0.0038616173049862	139	139	2.06339113148045e-14	3.32205972168352e-12
COG1134	log_depth	log_depth	0.463981975857286	0.0570238685860709	139	139	5.0189691413715e-13	4.04027015880405e-11
COG1117	log_PO4	log_PO4	-0.941365243979819	0.129761354380744	139	139	4.84431296899756e-11	2.59978129336202e-09
COG0226	log_PO4	log_PO4	-1.00394894298175	0.140970216778808	139	139	9.55264219994493e-11	3.84493848547783e-09
COG0573	log_PO4	log_PO4	-1.0465573149531	0.14986239280745	139	139	1.89467919262029e-10	4.35776214302666e-09
COG0581	log_PO4	log_PO4	-1.01704097108554	0.145630194675751	139	139	1.86252487252357e-10	4.35776214302666e-09
COG1840	Mean_Oxygen	Mean_Oxygen	0.00250965539656229	0.000359348365928213	139	139	1.86513244050752e-10	4.35776214302666e-09
COG0704	log_PO4	log_PO4	-1.15259898328394	0.181856492262646	139	139	4.55687561785249e-09	9.17071218092813e-08
COG3624	log_PO4	log_PO4	-2.09561583687096	0.333184748635447	139	138	5.77525821258841e-09	1.03312952469637e-07
COG3627	log_PO4	log_PO4	-1.96147263876158	0.313549576890118	139	139	6.92824089263445e-09	1.11544678371415e-07
COG3625	log_PO4	log_PO4	-2.0448193369202	0.343362748068024	139	138	2.74350686801705e-08	3.45458351172902e-07
COG4107	log_PO4	log_PO4	-1.89951086176195	0.31764230514223	139	139	2.44187098633451e-08	3.45458351172902e-07
COG3454	log_PO4	log_PO4	-1.58434999036779	0.266199336521567	139	139	2.78941525791784e-08	3.45458351172902e-07
COG3626	log_PO4	log_PO4	-1.85057705305348	0.318515712405604	139	139	5.40795389116425e-08	5.8045371765163e-07
COG4778	log_PO4	log_PO4	-1.82818086874383	0.314035465240072	139	139	5.12493871544855e-08	5.8045371765163e-07
COG2764	log_depth	log_depth	1.44753923340546	0.249575584957725	139	139	6.52874036714595e-08	6.56954499444061e-07
COG1392	log_PO4	log_PO4	0.630491151493006	0.110274514906658	139	139	8.29564001527133e-08	7.85645907328637e-07
COG3639	log_PO4	log_PO4	-0.588263925256766	0.106120747614468	139	139	1.9002416680532e-07	1.69966060309203e-06
COG3709	log_PO4	log_PO4	-1.57508913430818	0.285964672475019	139	139	2.15662407682681e-07	1.82745513878482e-06
COG0395	log_depth	log_depth	-0.177366082404148	0.0356825186911067	139	139	2.56227361592882e-06	2.0626302608227e-05
COG1392	log_depth	log_depth	0.397858994848156	0.0862137813259706	139	139	1.00768160043014e-05	7.7255589366311e-05
COG1840	log_depth	log_depth	-0.166782022263206	0.0357829509963439	139	139	1.26109721645291e-05	9.22893872040536e-05
COG1653	log_depth	log_depth	-0.17360308319917	0.0313020758287723	139	139	3.04367392845626e-05	0.000213057174991938
COG0704	log_depth	log_depth	0.59547556383801	0.130931401546882	139	139	3.96077879367333e-05	0.000265702244075586
COG1134	Mean_Oxygen	Mean_Oxygen	-0.00233221166060787	0.000563111846838886	139	139	6.50885883735858e-05	0.000419170509125893
COG3638	log_PO4	log_PO4	-0.342187881138855	0.0836820152921811	139	139	7.99721555156441e-05	0.00049521219376995
COG3709	Mean_Oxygen	Mean_Oxygen	0.00774571405606332	0.00219147682356073	139	139	0.000584507148593155	0.00348539447864807
COG3639	log_NO2NO3	log_NO2NO3	0.235262387840986	0.0669858344625033	139	139	0.000630966375467268	0.00362805665893679
COG0573	Mean_Temperature	Mean_Temperature	0.041806010320271	0.0120923094130311	139	139	0.000765258108602682	0.00411051473699871
COG3221	log_PO4	log_PO4	-0.297322096872795	0.0860332046273106	139	139	0.000765934423043237	0.00411051473699871
COG3638	size_fraction	0.22-3	-0.347499305827814	0.103566077605977	139	139	0.00106855746594766	0.00554960490379269
COG3454	Mean_Temperature	Mean_Temperature	-0.0671962258461561	0.0217318802912968	139	139	0.00248093345707369	0.012482196455902
COG1134	Mean_Temperature	Mean_Temperature	0.0184807419780552	0.00602289526289118	139	139	0.0026713623745186	0.0130330103726514
COG4778	Mean_Temperature	Mean_Temperature	-0.0755148681554045	0.025637107992062	139	139	0.00388496787514255	0.0183964655264103
COG0581	Mean_Temperature	Mean_Temperature	0.0332081027722061	0.0106877706049959	139	139	0.00410958990640759	0.0189041135694749
COG4985	Mean_Temperature	Mean_Temperature	-0.0621973302749477	0.0213696021285065	139	139	0.00431407657410803	0.0192935091230943
COG3221	size_fraction	0.22-3	-0.306594646976112	0.106564317364389	139	139	0.00477147076564975	0.0207623457640435
COG1392	size_fraction	0.22-3	0.390142804271421	0.136367302122009	139	139	0.00499713942986098	0.0211720907423057
COG3221	log_depth	log_depth	0.180005966181718	0.060499810228622	139	139	0.00532725052863157	0.0219919829515303
COG3221	Mean_Temperature	Mean_Temperature	-0.0195456814481925	0.0069719369502208	139	139	0.00591959150357078	0.0236102764627103
COG0704	Mean_Oxygen	Mean_Oxygen	-0.00382150989625893	0.00136446152834192	139	139	0.00601255487559703	0.0236102764627103
COG0226	Mean_Temperature	Mean_Temperature	0.0314387332916311	0.0114710571696798	139	139	0.00708557335918257	0.0265038073487672
COG3639	log_depth	log_depth	0.258512718303612	0.0667059802251903	139	139	0.00702326665149982	0.0265038073487672
COG2764	Mean_Oxygen	Mean_Oxygen	-0.00674590649916335	0.00246837014047433	139	139	0.00724327654252023	0.0265038073487672
COG2764	size_fraction	0.22-3	1.07866191500756	0.399859777407253	139	139	0.00802374926123038	0.0287071918012909
COG3221	Mean_Oxygen	Mean_Oxygen	-0.00167966721912568	0.000641623716628081	139	139	0.010122875930915	0.0354300657582025
COG4107	Mean_Temperature	Mean_Temperature	-0.0664460897859307	0.0259315618175601	139	139	0.011654705680564	0.0392515351885901
COG4778	Mean_Oxygen	Mean_Oxygen	0.0061629718402398	0.00240659602423381	139	139	0.0117023210500144	0.0392515351885901
COG3639	Mean_Oxygen	Mean_Oxygen	-0.00194039921098906	0.000771155379751422	139	139	0.0140077256756217	0.0453039314793698
COG0704	Mean_Salinity	Mean_Salinity	0.166450165880751	0.066770045456815	139	139	0.0140695439376925	0.0453039314793698
COG1117	Mean_Temperature	Mean_Temperature	0.0259822322199156	0.0104772515029642	139	139	0.0145888541290787	0.0460550100937582
COG4107	Mean_Salinity	Mean_Salinity	0.285956205797879	0.116550809310136	139	139	0.0156091395806621	0.0483282975478194
COG1653	Mean_Oxygen	Mean_Oxygen	0.000834167718306267	0.000347063327804391	139	139	0.0181354729133863	0.0550907762085884
COG0704	Mean_Temperature	Mean_Temperature	-0.0350444062507897	0.0147787051359471	139	139	0.0193501505804056	0.0576921156193574
COG1840	size_fraction	0.22-3	0.137514172300791	0.0585598658231868	139	139	0.02055895953272	0.060181681541235
COG3626	Mean_Temperature	Mean_Temperature	-0.0608525189542992	0.0260028647078723	139	139	0.0209516977091492	0.0602361309138041
COG3709	Mean_Salinity	Mean_Salinity	0.243800343011728	0.104927503268645	139	139	0.0218635116799347	0.0617548312363068
COG3627	Mean_Temperature	Mean_Temperature	-0.0555420615187317	0.0256628526130916	139	139	0.0325166336014641	0.0887318306751818
COG0395	Mean_Oxygen	Mean_Oxygen	0.000771804081397173	0.000356140841865746	139	139	0.032235973764475	0.0887318306751818
COG0226	Mean_Salinity	Mean_Salinity	0.110349392463385	0.0517671600491827	139	139	0.0351325788141639	0.0942724198180065
COG3626	Mean_Salinity	Mean_Salinity	0.248198090540288	0.116871284013145	139	139	0.0357846114150834	0.0944479088168595
COG3454	Mean_Salinity	Mean_Salinity	0.204417017175468	0.0976751131922351	139	139	0.038507528817398	0.09999535709034
COG4985	log_PO4	log_PO4	-0.540587990253125	0.261761699037909	139	139	0.0410952486739199	0.105021191055573
COG3624	Mean_Salinity	Mean_Salinity	0.250108286425339	0.122423380434671	139	138	0.0433144842452338	0.108962999429416
COG3627	Mean_Salinity	Mean_Salinity	0.232966885476049	0.115186931571568	139	139	0.0454535367699532	0.112584914153269
COG1117	Mean_Salinity	Mean_Salinity	0.0925007453040973	0.0476027704055272	139	139	0.0543927193285192	0.132685269877145
COG0573	Mean_Salinity	Mean_Salinity	0.103332780614163	0.0549721672266407	139	139	0.062626053737823	0.148276391938081
COG3709	Mean_Temperature	Mean_Temperature	-0.0438848179532578	0.0233454752779352	139	139	0.0626015407389616	0.148276391938081
COG3626	size_fraction	0.22-3	-0.728053579402592	0.393881835898235	139	139	0.0670472261543013	0.15644352769337
COG3639	Mean_Temperature	Mean_Temperature	-0.015305382870787	0.00848193746649264	139	139	0.0741079633979718	0.170448315815335
COG0581	Mean_Salinity	Mean_Salinity	0.0932089811425539	0.0529532081149054	139	139	0.0809668127368983	0.178706290485045
COG3624	log_NO2NO3	log_NO2NO3	0.374382212601859	0.212161672730291	139	138	0.0802425036334519	0.178706290485045
COG3625	size_fraction	0.22-3	-0.744487578456464	0.424608094108317	139	138	0.0821382950055489	0.178706290485045
COG3709	log_NO2NO3	log_NO2NO3	0.319851538222072	0.182019023088889	139	139	0.0814700742738397	0.178706290485045
COG4778	size_fraction	0.22-3	-0.674995811904782	0.388341487619946	139	139	0.0847929619779939	0.182022225046094
COG3454	log_NO2NO3	log_NO2NO3	0.286512126370725	0.169438213333148	139	139	0.0934854086037023	0.195469490716832
COG1653	log_PO4	log_PO4	-0.0798917199634277	0.047198038654921	139	139	0.0931849338488143	0.195469490716832
COG3638	Mean_Oxygen	Mean_Oxygen	-0.00102734710846678	0.000614088994902554	139	139	0.0976260501431141	0.198959418646093
COG3709	size_fraction	0.22-3	-0.592385537975888	0.353628677674351	139	139	0.0965504675612912	0.198959418646093
COG3639	size_fraction	0.22-3	-0.216664892635133	0.131258621627737	139	139	0.101485423440916	0.204239414674843
COG3454	Mean_Oxygen	Mean_Oxygen	0.00327231265371088	0.0020400061007019	139	139	0.111371891166512	0.221368820713684
COG3625	Mean_Salinity	Mean_Salinity	0.20129748501273	0.125988275259371	139	138	0.112773598145964	0.221421332945125
COG4778	Mean_Salinity	Mean_Salinity	0.181635057800879	0.115227370640797	139	139	0.117629632402531	0.225456795438185
COG4778	log_NO2NO3	log_NO2NO3	0.315504756145253	0.199886328977417	139	139	0.117146021243078	0.225456795438185
COG0573	Mean_Oxygen	Mean_Oxygen	0.00170059663998426	0.0011079409742888	139	139	0.12792762499227	0.231520296622168
COG3624	size_fraction	0.22-3	-0.629966995051954	0.41293039307626	139	138	0.129828594826252	0.231520296622168
COG3626	log_NO2NO3	log_NO2NO3	0.310090241552337	0.202738045608043	139	139	0.128813980931088	0.231520296622168
COG3627	log_NO2NO3	log_NO2NO3	0.309798389994271	0.199717706242493	139	139	0.123597017023334	0.231520296622168
COG3454	size_fraction	0.22-3	-0.500792132890116	0.329186533976973	139	139	0.130859298090791	0.231520296622168
COG2764	Mean_Temperature	Mean_Temperature	-0.0408487706144469	0.0264152344363008	139	139	0.124711883623212	0.231520296622168
COG1134	Mean_Salinity	Mean_Salinity	0.0411437214545637	0.0270336133293347	139	139	0.130705176759846	0.231520296622168
COG4107	size_fraction	0.22-3	-0.566082650177704	0.392801765926847	139	139	0.152193341119978	0.266338346959961
COG1653	size_fraction	0.22-3	-0.0836483753689181	0.0584196723015365	139	139	0.154845645027281	0.268066116660131
COG3638	log_NO2NO3	log_NO2NO3	-0.0744620459095844	0.0529198464659189	139	139	0.162034476943203	0.277527136041018
COG4985	Mean_Salinity	Mean_Salinity	0.133996313672507	0.0960468343648517	139	139	0.165601680874026	0.280651269691771
COG3627	size_fraction	0.22-3	-0.539638552424207	0.388431104204952	139	139	0.167459276701057	0.280843161967398
