feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG0073	log_depth	log_depth	-0.00832183196782384	0.000377456038530787	139	0	2.81447203324792e-103	9.24948089006596e-99
COG0394	log_depth	log_depth	0.0440664249352582	0.000703395927243241	139	0	6.23738358778301e-71	1.0249268711445e-66
COG2154	log_depth	log_depth	-0.00778419557615295	0.000436673523369241	139	0	1.79717099007365e-62	1.96874091392602e-58
COG4261	log_depth	log_depth	0.361090958778343	0.00730551517529149	139	0	2.82193261776106e-62	2.31849983875248e-58
COG5606	log_depth	log_depth	0.482863150010014	0.00997303805099497	139	0	4.39921876716591e-62	2.89151851128281e-58
COG0279	log_depth	log_depth	0.0368681559560154	0.000789296767723179	139	0	2.48907832667144e-61	1.3633511687955e-57
COG1593	log_depth	log_depth	-0.0369712538303888	0.000851819844434931	139	0	1.1476330125624e-58	5.38797304640726e-55
COG3511	log_depth	log_depth	0.169008569961861	0.00445992639834057	139	0	3.96204071578724e-54	1.6276063260454e-50
COG2425	log_depth	log_depth	-0.255665086705248	0.00704814873650409	139	0	2.286334279752e-52	8.34867664108551e-49
COG1470	log_depth	log_depth	0.3798729622444	0.0103049931488176	139	0	2.69577016138495e-52	8.8593790583755e-49
COG3842	log_depth	log_depth	-0.0242587242103762	0.000467634854975203	139	0	1.19026937958236e-51	3.55609208096315e-48
COG0697	log_depth	log_depth	-0.0174288792945431	0.000516339059924901	139	0	3.01071259811276e-50	8.2453382353648e-47
COG2188	log_depth	log_depth	-0.0766160261705092	0.00234139110124944	139	0	3.80363347622479e-49	9.61558542789626e-46
COG0505	log_depth	log_depth	-0.00532319488288525	0.000366550531919779	139	0	7.09006416264772e-47	1.6643419188661e-43
COG4564	log_depth	log_depth	0.140048645960603	0.00474487499687739	139	0	9.609514608593e-45	2.105380587312e-41
COG0125	log_depth	log_depth	0.0191993494784369	0.000598873728748948	139	0	4.3944566012278e-44	9.02621385892191e-41
COG1968	log_depth	log_depth	-0.0134810324835893	0.000477746085170651	139	0	5.57857025940785e-44	1.07843607650106e-40
COG0513	log_depth	log_depth	-0.0162468572435991	0.00062047482326094	139	0	7.07682422238568e-42	1.29207084024713e-38
COG1575	log_depth	log_depth	0.0328048779661988	0.00129918844959845	139	0	1.06451556366744e-40	1.84127576233509e-37
COG2522	log_depth	log_depth	0.300172047210735	0.00959806835881409	139	0	5.03529969999796e-40	8.27400446703664e-37
COG3010	log_depth	log_depth	-0.0793836544367148	0.00326226044586327	139	0	1.02748649411618e-38	1.60796743536352e-35
COG2940	log_depth	log_depth	-0.0269740488490651	0.00117525925429391	139	0	1.4104225043036e-37	2.10691478097425e-34
COG4619	log_depth	log_depth	0.118633363346344	0.00521145157125576	139	0	2.03167428125142e-37	2.90299754691507e-34
COG1877	log_depth	log_depth	-0.0818252659067065	0.00360554668582228	139	0	5.5447298913341e-37	7.5925834645335e-34
COG0056	log_depth	log_depth	-0.0110710721757637	0.00049716082473974	139	0	9.35513562127745e-37	1.22978870823065e-33
COG1178	log_depth	log_depth	-0.0130571120016111	0.000601938906320743	139	0	5.98368735545508e-36	7.45113226982117e-33
COG1558	log_depth	log_depth	-0.0364303189222425	0.00163504884123432	139	0	6.12160939889154e-36	7.45113226982117e-33
