feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG0431	log_depth	log_depth	0.243253435523918	0.00507798122627841	139	139	7.19905999666856e-74	2.07016169264201e-69
COG0023	log_depth	log_depth	0.200260000380146	0.00480038972194901	139	139	2.10935570978103e-72	3.03283163952316e-68
COG4245	log_depth	log_depth	0.352981893686476	0.0101707086794481	139	139	1.30114822650237e-63	1.24719394671007e-59
COG4564	log_depth	log_depth	0.466036367236737	0.0134980320765245	139	139	4.61395912190232e-60	3.31697521273558e-56
COG1883	log_depth	log_depth	0.210740135840112	0.00655247066430919	139	139	2.34129772544384e-51	1.18971388942646e-47
COG2840	log_depth	log_depth	-0.179560213645589	0.00422500696487555	139	139	2.48236310215564e-51	1.18971388942646e-47
COG1903	log_depth	log_depth	0.324329682456812	0.0088686364191901	139	139	8.91151967023927e-50	3.66085228053429e-46
COG4945	log_depth	log_depth	0.90068662667646	0.0215309215184769	139	135	1.84827798176386e-48	6.64363520545021e-45
COG0788	log_depth	log_depth	0.289375888858079	0.00597297088424635	139	139	2.42939206400875e-45	7.76217757695952e-42
COG4261	log_depth	log_depth	1.22001984520473	0.0201316342073993	139	138	1.53692739124346e-42	4.41958840625968e-39
COG1210	log_depth	log_depth	-0.0439282749844418	0.00231654847722437	139	139	5.16350451616221e-37	1.3498339624251e-33
COG3791	log_depth	log_depth	-0.0386113483609416	0.00199126117219564	139	139	7.6859769467302e-36	1.84181627566811e-32
COG3833	log_depth	log_depth	0.506779024596333	0.0127954376631725	139	139	3.86835123095719e-35	8.55679292287731e-32
COG2025	log_depth	log_depth	0.0565763724193	0.00203816447673769	139	139	1.12071304001425e-34	2.30194458418926e-31
COG1883	Mean_Temperature	Mean_Temperature	-0.0839179581241935	0.00399773553639062	139	139	2.00376432566118e-34	3.82774691567863e-31
COG5434	log_depth	log_depth	0.254315492074192	0.0126765719544279	139	139	2.12977989466053e-34	3.82774691567863e-31
