feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG2308	log_NO2NO3	log_NO2NO3	-1.26252714879057	0.0861493699551584	139	139	3.08735613466542e-29	1.26828590012056e-25
COG0573	log_NO2NO3	log_NO2NO3	-0.88508442187884	0.0616267378235096	139	139	1.56499339377267e-28	3.21449643080907e-25
COG3484	log_NO2NO3	log_NO2NO3	-1.48317645981572	0.105962508546277	139	139	1.19359547263113e-27	1.63443006718956e-24
COG0226	log_NO2NO3	log_NO2NO3	-0.807374220654502	0.0581375447817387	139	139	2.20579178922126e-27	2.26534816753023e-24
COG1117	log_NO2NO3	log_NO2NO3	-0.729526090512592	0.0534180374468209	139	139	8.02127874622841e-27	6.59028261790126e-24
COG0581	log_NO2NO3	log_NO2NO3	-0.802088146146211	0.0592800931168366	139	139	1.63208849004452e-26	1.11743658618382e-23
COG0633	log_NO2NO3	log_NO2NO3	-0.389977424681477	0.0294226007717043	139	139	7.73161721854789e-26	4.53735479054211e-23
COG2307	log_NO2NO3	log_NO2NO3	-1.06628031816854	0.0824161746125695	139	139	4.63036472703358e-25	2.37769228733174e-22
COG0306	log_NO2NO3	log_NO2NO3	0.271854918014966	0.0213676962253314	139	139	1.56742927195133e-24	6.52522137940738e-22
COG1392	log_NO2NO3	log_NO2NO3	0.579190263264428	0.0455325271695071	139	139	1.58841805730462e-24	6.52522137940738e-22
COG1828	log_NO2NO3	log_NO2NO3	-0.237802417144878	0.0187564829515274	139	139	2.01561667362531e-24	7.52741208659342e-22
COG5598	log_NO2NO3	log_NO2NO3	0.528107924224195	0.0424913821712953	139	139	8.34169167435095e-24	2.85563911651947e-21
COG3844	log_NO2NO3	log_NO2NO3	0.385325811296634	0.0312846930132742	139	139	1.57694893514601e-23	4.9831586350614e-21
COG1228	log_NO2NO3	log_NO2NO3	0.306185834792632	0.0250146822739283	139	139	2.43865723095159e-23	7.15571707482081e-21
COG0762	log_NO2NO3	log_NO2NO3	-0.279486050867761	0.0230170223065797	139	139	4.25588601697669e-23	1.15886216608454e-20
COG1001	log_NO2NO3	log_NO2NO3	0.812728432929995	0.0669889618221168	139	139	4.51358195164379e-23	1.15886216608454e-20
COG2515	log_NO2NO3	log_NO2NO3	0.45853985703405	0.0378423584465185	139	139	4.92150716211968e-23	1.18926773070516e-20
COG0855	log_NO2NO3	log_NO2NO3	-0.617051646473253	0.0513791768444976	139	139	9.08088332527923e-23	1.9633825631709e-20
COG1696	log_NO2NO3	log_NO2NO3	0.32633952282547	0.0271721785330876	139	139	9.06535587434014e-23	1.9633825631709e-20
COG3327	log_NO2NO3	log_NO2NO3	0.841134200577019	0.0709482466732341	139	139	2.19007738873387e-22	4.30294545358477e-20
COG3959	log_NO2NO3	log_NO2NO3	0.284928910974116	0.0240348201572161	139	139	2.1996556603038e-22	4.30294545358477e-20
COG0717	log_NO2NO3	log_NO2NO3	-0.190026428799547	0.0160567440360814	139	139	2.46815248047502e-22	4.60871381354153e-20
COG1574	log_NO2NO3	log_NO2NO3	0.461375792318471	0.0392577860318716	139	139	3.94829549676997e-22	7.05199908727436e-20
COG1522	log_NO2NO3	log_NO2NO3	0.497083877175567	0.0423319335668585	139	139	4.17907766982523e-22	7.15318794485085e-20
COG2234	log_NO2NO3	log_NO2NO3	0.344377322832452	0.0294410855384724	139	139	5.41609356076608e-22	8.89972493905082e-20
COG2022	log_NO2NO3	log_NO2NO3	-0.201284749285535	0.0173972335111342	139	139	1.12113668959367e-21	1.771395969558e-19
COG5146	log_NO2NO3	log_NO2NO3	-1.74688843493711	0.151703034921408	139	106	1.53334937293764e-21	2.33296267556586e-19
COG0523	log_NO2NO3	log_NO2NO3	-0.526446180331968	0.0462631577358985	139	139	3.33457396024429e-21	4.89229636738699e-19
COG1327	log_NO2NO3	log_NO2NO3	-0.207834381104386	0.0182968827529415	139	139	3.74693365486425e-21	5.30772532902839e-19
COG1586	log_NO2NO3	log_NO2NO3	-0.341225938142522	0.0300969327335483	139	139	4.23595708544987e-21	5.61332635710583e-19
COG2214	log_NO2NO3	log_NO2NO3	-0.236630412347131	0.0208708120894473	139	139	4.22874131973398e-21	5.61332635710583e-19
COG1368	log_NO2NO3	log_NO2NO3	0.514365867068466	0.0454427113103964	139	139	4.71080792280326e-21	6.04749967089869e-19
COG0506	log_NO2NO3	log_NO2NO3	0.275624674038385	0.0244148916538133	139	139	5.58638631266498e-21	6.76802031276292e-19
COG0745	log_NO2NO3	log_NO2NO3	-0.169203279909506	0.0149886921584122	139	139	5.60157474766162e-21	6.76802031276292e-19
COG3769	log_NO2NO3	log_NO2NO3	-1.22330884843063	0.108537096573578	139	139	6.20382566103315e-21	7.28151880443548e-19
COG1494	log_NO2NO3	log_NO2NO3	-0.245252021966729	0.0218787805343947	139	139	8.81037083419754e-21	1.00536120519121e-18
COG3958	log_NO2NO3	log_NO2NO3	0.261254366766172	0.0233644381219861	139	139	1.03339189118467e-20	1.14734429432071e-18
