,gene_name,Supporting literature between [gene_name] to [COG_number],TARA_100_DCM_0.22-3,TARA_100_MES_0.22-3,TARA_100_SRF_0.22-3,TARA_102_DCM_0.22-3,TARA_102_MES_0.22-3,TARA_102_SRF_0.22-3,TARA_109_DCM_0.22-3,TARA_109_MES_0.22-3,TARA_109_SRF_0.22-3,TARA_110_DCM_0.22-3,TARA_110_MES_0.22-3,TARA_110_SRF_0.22-3,TARA_111_DCM_0.22-3,TARA_111_MES_0.22-3,TARA_111_SRF_0.22-3,TARA_112_DCM_0.22-3,TARA_112_MES_0.22-3,TARA_112_SRF_0.22-3,TARA_122_DCM_0.22-3,TARA_122_MES_0.22-3,TARA_122_SRF_0.22-3,TARA_123_MIX_0.22-3,TARA_123_SRF_0.22-3,TARA_124_MIX_0.22-3,TARA_124_SRF_0.22-3,TARA_125_MIX_0.22-3,TARA_125_SRF_0.22-3,TARA_128_DCM_0.22-3,TARA_128_SRF_0.22-3,TARA_132_DCM_0.22-3,TARA_132_MES_0.22-3,TARA_132_SRF_0.22-3,TARA_133_DCM_0.22-3,TARA_133_MES_0.22-3,TARA_133_SRF_0.22-3,TARA_137_DCM_0.22-3,TARA_137_MES_0.22-3,TARA_137_SRF_0.22-3,TARA_138_DCM_0.22-3,TARA_138_MES_0.22-3,TARA_138_SRF_0.22-3,TARA_140_SRF_0.22-3,TARA_141_SRF_0.22-3,TARA_142_DCM_0.22-3,TARA_142_MES_0.22-3,TARA_142_SRF_0.22-3,TARA_145_MES_0.22-3,TARA_145_SRF_0.22-3,TARA_146_MES_0.22-3,TARA_146_SRF_0.22-3,TARA_148b_MES_0.22-3,TARA_148_SRF_0.22-3,TARA_149_MES_0.22-3,TARA_149_SRF_0.22-3,TARA_150_DCM_0.22-3,TARA_150_SRF_0.22-3,TARA_151_DCM_0.22-3,TARA_151_SRF_0.22-3,TARA_152_MIX_0.22-3,TARA_152_MES_0.22-3,TARA_152_SRF_0.22-3,TARA_018_DCM_0.22-1.6,TARA_018_SRF_0.22-1.6,TARA_023_DCM_0.22-1.6,TARA_023_SRF_0.22-1.6,TARA_025_DCM_0.22-1.6,TARA_025_SRF_0.22-1.6,TARA_030_DCM_0.22-1.6,TARA_030_SRF_0.22-1.6,TARA_031_SRF_0.22-1.6,TARA_032_DCM_0.22-1.6,TARA_032_SRF_0.22-1.6,TARA_033_SRF_0.22-1.6,TARA_034_DCM_0.22-1.6,TARA_034_SRF_0.22-1.6,TARA_036_DCM_0.22-1.6,TARA_036_SRF_0.22-1.6,TARA_037_MES_0.22-1.6,TARA_038_DCM_0.22-1.6,TARA_038_MES_0.22-1.6,TARA_038_SRF_0.22-1.6,TARA_039_DCM_0.22-1.6,TARA_039_MES_0.22-1.6,TARA_041_DCM_0.22-1.6,TARA_041_SRF_0.22-1.6,TARA_042_DCM_0.22-1.6,TARA_042_SRF_0.22-1.6,TARA_045_SRF_0.22-1.6,TARA_048_SRF_0.22-1.6,TARA_004_DCM_0.22-1.6,TARA_004_SRF_0.22-1.6,TARA_052_DCM_0.22-1.6,TARA_052_SRF_0.22-1.6,TARA_056_MES_0.22-3,TARA_056_SRF_0.22-3,TARA_057_SRF_0.22-3,TARA_058_DCM_0.22-3,TARA_062_SRF_0.22-3,TARA_064_DCM_0.22-3,TARA_064_MES_0.22-3,TARA_064_SRF_0.22-3,TARA_065_DCM_0.22-3,TARA_065_MES_0.22-3,TARA_065_SRF_0.22-3,TARA_066_DCM_0.22-3,TARA_066_SRF_0.22-3,TARA_067_SRF_0.22-3,TARA_068_DCM_0.22-3,TARA_068_MES_0.22-3,TARA_068_SRF_0.22-3,TARA_070_MES_0.22-3,TARA_070_SRF_0.22-3,TARA_072_DCM_0.22-3,TARA_072_MES_0.22-3,TARA_072_SRF_0.22-3,TARA_076_DCM_0.22-3,TARA_076_MES_0.22-3,TARA_076_SRF_0.22-3,TARA_078_DCM_0.22-3,TARA_078_MES_0.22-3,TARA_078_SRF_0.22-3,TARA_007_DCM_0.22-1.6,TARA_007_SRF_0.22-1.6,TARA_082_DCM_0.22-3,TARA_082_SRF_0.22-3,TARA_084_SRF_0.22-3,TARA_085_DCM_0.22-3,TARA_085_MES_0.22-3,TARA_085_SRF_0.22-3,TARA_093_DCM_0.22-3,TARA_093_SRF_0.22-3,TARA_094_SRF_0.22-3,TARA_096_SRF_0.22-3,TARA_098_DCM_0.22-3,TARA_098_MES_0.22-3,TARA_098_SRF_0.22-3,TARA_099_SRF_0.22-3,TARA_009_DCM_0.22-1.6,TARA_009_SRF_0.22-1.6
COG0226,PstS,,0.000174971,6.39E-05,0.000156308,0.00010704,3.95E-05,0.00012263,0.000142424,6.87E-05,0.000164159,9.58E-05,6.46E-05,0.000130273,0.000157228,3.15E-05,0.000167955,0.000254122,7.14E-05,0.00028554,0.000194716,9.51E-05,0.000208756,0.000132151,0.0001466,0.000134169,0.000211458,0.00011744,0.000139042,0.000184085,0.00016629,0.000165919,7.01E-05,0.000719056,9.95E-05,5.23E-05,0.000142027,5.39E-05,6.76E-05,0.00017285,0.000105306,9.51E-05,0.000283261,0.000333746,0.000648295,0.000628384,8.99E-05,0.000653923,5.41E-05,0.000376911,7.08E-05,0.000682838,0.000368979,0.000678512,5.93E-05,0.000661919,0.000704663,0.000680432,0.000560827,0.000649436,0.000490257,7.62E-05,0.000492238,0.000643862,0.000676562,0.000872862,0.000814503,0.000788847,0.000716737,0.000675225,0.000495641,0.000784035,0.000574754,0.000792553,0.000590278,0.000277303,0.000527423,0.000154612,0.000162259,7.87E-05,0.000254662,3.71E-05,0.000241095,0.000302899,3.34E-05,0.000192249,0.000428942,0.000243757,0.000523816,0.00041278,0.000403494,0.000542785,0.000646442,0.000235965,0.000361501,0.000140133,0.000428279,0.000434366,0.000395288,0.000461101,0.000333612,6.37E-05,0.000332403,0.000272849,6.40E-05,0.000261856,0.000124156,0.000119842,0.000208498,0.000241065,5.18E-05,0.00025399,0.000189625,0.000212523,0.000230366,0.000362961,0.000597614,0.000454324,0.000118508,0.000565762,0.000433378,0.000117933,0.000657263,0.00073099,0.000697241,4.88E-05,5.75E-05,3.45E-05,3.01E-05,4.89E-05,1.70E-05,0.000144963,0.000137004,0.000139733,0.00019261,0.000242931,5.43E-05,0.000243273,0.000270012,0.000639202,0.000557221
COG0573,PstC,,0.000109423,3.53E-05,0.000106694,7.22E-05,1.69E-05,9.12E-05,0.000104515,2.59E-05,0.000136952,6.13E-05,4.24E-05,9.83E-05,0.000117965,2.25E-05,0.000119955,0.000193327,5.64E-05,0.000238452,0.000107729,6.89E-05,0.000138618,9.40E-05,8.95E-05,9.64E-05,0.00015273,8.66E-05,9.84E-05,0.000135896,0.000132207,0.000118733,4.46E-05,0.000554684,8.55E-05,3.28E-05,0.000149953,3.70E-05,3.24E-05,0.000134932,7.18E-05,4.44E-05,0.000223802,0.000250792,0.000458768,0.000490011,4.06E-05,0.000504047,4.95E-05,0.000300542,6.04E-05,0.000498379,0.000274306,0.000494923,4.91E-05,0.000501834,0.00049476,0.000541166,0.000470965,0.000544174,0.000424145,6.62E-05,0.00043283,0.000458334,0.000474011,0.000546436,0.000596619,0.000478308,0.000500045,0.000481413,0.000384597,0.000535703,0.000436237,0.00053749,0.000474301,0.000210049,0.00043246,9.98E-05,0.000101784,3.12E-05,0.0001578,2.45E-05,0.000173495,0.000213801,2.47E-05,0.000101727,0.000366464,0.000156352,0.00043356,0.000351462,0.000363539,0.000473157,0.000544379,0.000183772,0.000291247,0.000126883,0.000348264,0.00033132,0.000322101,0.000384743,0.000242313,5.22E-05,0.000284083,0.000224302,5.31E-05,0.000223663,0.000111752,0.000112613,0.000165998,0.000227526,3.99E-05,0.000246272,6.37E-05,0.000159259,0.000171436,0.000245819,0.000423084,0.000306394,7.04E-05,0.000416858,0.000341335,9.07E-05,0.000491924,0.000447118,0.000512942,2.70E-05,3.18E-05,1.39E-05,2.14E-05,3.74E-05,9.65E-06,5.35E-05,7.18E-05,0.000114578,0.000172373,0.000201319,4.81E-05,0.000198374,0.000214421,0.000495562,0.000434075
COG0581,PstA,,0.000125875,3.48E-05,0.000146584,7.15E-05,2.71E-05,0.000105883,0.000128428,5.40E-05,0.000149633,7.66E-05,5.19E-05,0.000114638,0.000116268,2.99E-05,0.000153275,0.000193495,6.50E-05,0.00024925,0.000133534,8.22E-05,0.000181689,0.000107082,9.36E-05,0.000106162,0.000174843,0.000101455,0.000116877,0.000172825,0.000169756,0.000117158,5.89E-05,0.000549951,9.61E-05,4.04E-05,0.000130839,3.70E-05,4.85E-05,0.000159145,6.86E-05,5.71E-05,0.000253216,0.00025651,0.000453079,0.000512152,6.68E-05,0.000526633,5.07E-05,0.000306054,6.50E-05,0.000525153,0.000296651,0.000526252,5.73E-05,0.000514312,0.000522156,0.000551529,0.000484335,0.000559409,0.000417194,6.82E-05,0.000423965,0.000512662,0.000537552,0.000550276,0.000624702,0.000516762,0.00052147,0.000516056,0.00041061,0.000554655,0.000432253,0.000537704,0.000472462,0.00021937,0.00043161,9.96E-05,0.000101852,4.24E-05,0.000156739,2.55E-05,0.000172708,0.000217686,2.62E-05,0.00011348,0.00037063,0.000176631,0.000425322,0.00035971,0.000365973,0.000474547,0.000544134,0.000184541,0.000364722,0.000126447,0.000355509,0.000322452,0.00032572,0.000371854,0.000247504,5.95E-05,0.000280795,0.000220171,6.11E-05,0.000215546,0.000111415,0.000115928,0.000189848,0.000214475,4.45E-05,0.000227517,0.000134315,0.000165078,0.000174256,0.000275201,0.000438045,0.000331029,8.68E-05,0.000410706,0.00036086,9.45E-05,0.000484074,0.000485184,0.000513164,3.34E-05,3.69E-05,2.10E-05,2.78E-05,4.39E-05,1.13E-05,0.000117084,9.56E-05,0.000130341,0.000168889,0.000188804,5.28E-05,0.000193589,0.000208584,0.000524762,0.000469276
COG4985,PstA_auxiliary,,4.00E-06,4.54E-06,5.61E-07,2.01E-06,8.61E-07,7.68E-07,1.15E-06,5.59E-06,1.11E-06,1.24E-06,2.87E-06,6.34E-07,2.86E-06,8.72E-07,1.22E-06,3.70E-06,8.97E-07,4.47E-06,1.40E-05,2.12E-06,2.73E-06,6.60E-06,2.95E-06,4.39E-06,3.45E-06,3.37E-06,2.06E-06,2.06E-06,1.23E-06,3.65E-06,1.87E-06,5.58E-06,5.65E-06,3.97E-06,3.65E-06,1.69E-06,4.16E-06,9.77E-07,1.20E-06,6.01E-06,2.88E-06,4.17E-06,6.04E-06,3.94E-06,1.47E-05,3.72E-06,8.46E-07,8.19E-06,8.11E-07,1.30E-05,9.70E-06,9.93E-06,2.23E-06,7.40E-06,6.50E-06,6.39E-06,8.66E-06,2.67E-06,4.84E-06,1.00E-06,3.96E-06,1.40E-05,1.14E-05,1.60E-05,1.85E-05,1.05E-05,1.11E-05,5.64E-06,4.82E-06,4.20E-06,1.45E-05,3.11E-06,3.53E-06,3.59E-06,3.26E-06,4.03E-07,1.80E-07,3.65E-06,1.22E-06,7.06E-07,4.96E-07,4.07E-06,2.06E-06,1.48E-06,3.08E-06,2.05E-06,3.25E-06,3.04E-06,2.45E-06,3.62E-06,5.61E-06,1.44E-06,1.26E-06,6.11E-07,3.00E-06,2.33E-06,4.11E-06,2.66E-06,2.88E-06,7.38E-07,1.49E-06,3.45E-06,1.04E-06,2.54E-06,2.42E-06,1.77E-06,7.26E-06,2.22E-06,2.79E-06,2.52E-06,1.11E-05,2.40E-06,2.23E-06,7.67E-06,9.19E-06,1.15E-05,8.85E-06,3.39E-06,6.62E-06,2.48E-06,2.75E-06,1.51E-05,7.62E-06,2.42E-06,4.74E-06,2.11E-06,5.80E-06,1.04E-05,2.68E-06,4.98E-05,2.14E-05,2.72E-06,2.86E-06,3.34E-06,6.97E-07,3.33E-06,4.29E-06,9.51E-06,7.90E-06
COG1117,PstB,,0.000140935,6.51E-05,0.000138348,8.17E-05,3.13E-05,9.96E-05,0.000126032,5.89E-05,0.000149671,8.36E-05,5.54E-05,0.000110742,0.000130411,3.34E-05,0.000135607,0.000199026,6.64E-05,0.000231649,0.000141103,7.81E-05,0.000153184,0.000110827,0.000118593,0.000123006,0.000173201,0.000106002,0.000111924,0.000149257,0.000138389,0.000131627,6.17E-05,0.000525061,8.89E-05,4.05E-05,0.000138867,6.80E-05,7.00E-05,0.000143478,7.99E-05,8.96E-05,0.000232587,0.000261335,0.000419826,0.000445569,7.02E-05,0.000466381,5.41E-05,0.000302632,7.07E-05,0.000496147,0.000298414,0.000479997,6.13E-05,0.000495158,0.000487664,0.000506678,0.000472315,0.000501141,0.000421674,7.23E-05,0.000425509,0.000470579,0.000490664,0.000581787,0.000642849,0.000490911,0.000491657,0.000494814,0.000474275,0.000522041,0.00042747,0.000520575,0.00045137,0.000224615,0.000416269,0.000105149,0.000110306,8.15E-05,0.000167962,5.69E-05,0.000190162,0.000219541,5.13E-05,0.000107627,0.000359495,0.000153023,0.00040369,0.000350402,0.000356203,0.000478767,0.000522498,0.000181099,0.000284252,0.000127433,0.00034609,0.000329857,0.000320664,0.000372801,0.000253528,6.55E-05,0.00027908,0.000217468,6.48E-05,0.000219342,0.000119378,0.000115373,0.000192804,0.000220573,5.16E-05,0.000233197,0.000143741,0.000179732,0.000178677,0.000271586,0.00042485,0.000324524,9.19E-05,0.000395048,0.000349297,9.86E-05,0.000465775,0.000549348,0.00057908,3.75E-05,3.97E-05,3.27E-05,3.02E-05,4.81E-05,1.28E-05,0.000120481,0.000108212,0.000154942,0.0001584,0.00018683,5.31E-05,0.000187738,0.000213025,0.000493293,0.000449471
COG3638,PhnC,,0.000159077,0.000131372,0.000149962,0.000146266,9.31E-05,0.000137953,0.00017084,0.000122228,0.000187741,0.000123417,0.000129429,0.000151554,0.000166328,0.000124401,0.00014385,0.000217912,0.000108279,0.000248062,0.000142882,0.000132708,0.000167168,0.000135405,0.000135918,0.000111605,0.000177232,8.67E-05,0.000173562,0.000170573,0.000180931,0.000176894,0.000129543,0.000267238,0.000113858,0.000126739,0.000118908,0.000137979,0.000114806,0.000193221,0.000165934,0.000121688,0.000267671,0.000214742,0.000268665,0.000294318,0.000106994,0.000287754,0.000120799,0.000112345,0.000129897,0.000149929,0.000134548,0.000195869,0.000121701,0.00014849,0.000170386,0.000183809,0.000129166,0.000152237,0.000131603,0.0001196,0.000135854,0.000295587,0.000271751,0.000365106,0.000370828,0.000400149,0.000334881,0.00034526,0.00035663,0.000347667,0.000137478,0.000368451,0.000207536,0.000120496,0.000192469,0.000106688,0.000106532,9.98E-05,0.000184382,0.000127808,0.000193309,0.000217986,0.000119734,0.000150721,0.00030663,0.000169816,0.000270546,0.000332078,0.000320463,0.000143045,0.000157661,0.000197967,0.000238758,0.000123835,0.000281458,0.000228458,0.000241155,0.000244372,0.000183769,0.00012002,0.000261274,0.000141327,0.000114579,0.000135585,9.84E-05,0.000105974,0.000106253,0.000190842,0.000135117,0.000195395,0.000125271,0.000161403,0.000157315,0.000196744,0.000273197,0.000171695,0.000150215,0.000226079,0.000167164,0.000135851,0.000257875,0.0001636,0.000253367,8.93E-05,9.42E-05,0.000103752,6.50E-05,0.000160152,7.25E-05,8.08E-05,9.56E-05,0.000145521,0.000110229,0.000211784,0.000120631,0.00016389,0.000202485,0.000176948,0.000285268
COG3221,PhnD,,0.000211214,0.000200584,0.00016174,0.000170057,0.000331054,0.000141551,0.000181563,0.000273483,0.000194039,0.000159721,0.00024164,0.000162329,0.000200836,0.00029354,0.000161449,0.000238701,0.000299817,0.000243362,0.000188151,0.00030218,0.000189251,0.00016236,0.000170312,0.000154704,0.00021817,0.000140182,0.00021468,0.000201793,0.000194498,0.000217513,0.000306433,0.000273247,0.000164208,0.000362452,0.000154088,0.00019102,0.000208806,0.000193515,0.000203471,0.00021347,0.000268129,0.000224236,0.000307427,0.000297796,0.000315666,0.000309254,0.000317257,0.000184296,0.00031845,0.000191921,0.000283415,0.000229753,0.000333839,0.000178858,0.000208573,0.000214664,0.000178673,0.000175283,0.000178154,0.00030847,0.000184781,0.000347629,0.00031896,0.000461404,0.000464759,0.000482907,0.000357647,0.000443255,0.000411374,0.000349244,0.000201292,0.00036155,0.000226837,0.000238428,0.0002135,0.000126526,0.000124952,0.000212214,0.000212133,0.000198533,0.000216144,0.000228244,0.000189841,0.000169754,0.000291836,0.000170308,0.000261833,0.00031871,0.00030194,0.000191426,0.000173752,0.00022306,0.000248689,0.000287153,0.000284137,0.000245473,0.000239638,0.000240997,0.000255352,0.000333119,0.000274094,0.000179026,0.000319386,0.000164359,0.00014087,0.000132653,0.000172654,0.000250511,0.000309927,0.000247498,0.000331277,0.000211633,0.000195561,0.00029563,0.000275347,0.000216255,0.000359363,0.000239411,0.000210058,0.000335073,0.000259544,0.000265204,0.000318062,0.000156555,0.000170387,0.00021002,9.07E-05,0.000285925,9.19E-05,0.000100477,0.000133102,0.000146361,0.00011449,0.000240098,0.000327397,0.000168102,0.000208956,0.000228328,0.000311108
COG3639,PhnE,,0.000218247,0.00023695,0.000190633,0.00020762,0.00038946,0.000182556,0.000232479,0.000300787,0.000212306,0.00022273,0.000298057,0.00020833,0.000240671,0.000354246,0.000204659,0.000230256,0.000368715,0.000120565,0.000206161,0.000366971,0.000238491,0.000213279,0.00022572,0.00017812,0.000203407,0.000169983,0.000272565,0.000239235,0.000248126,0.000284371,0.000343597,0.000130075,0.000182615,0.000405722,0.00014985,0.000228322,0.000244578,0.000242633,0.000289105,0.000234628,0.000153723,0.000197585,0.000333711,0.000348485,0.000382321,0.000353733,0.000371569,0.000205791,0.000396592,0.000259715,0.00032517,0.000290139,0.000419675,0.000248459,0.000255039,0.000264227,0.000246619,0.000257774,0.000210459,0.000393035,0.00020727,0.000465164,0.000438929,0.00060891,0.000610976,0.000618263,0.000550145,0.000617389,0.000622954,0.000171685,0.000272934,0.000173401,0.000184337,0.000268042,0.000245337,0.000152965,0.00014453,0.000194719,0.00013529,0.000207301,0.000154499,0.000170137,0.00019737,0.000236954,0.000150127,0.000221952,0.00015664,0.000104126,0.000118758,0.000224568,0.000207748,0.000234679,0.000254724,0.000313042,0.000144062,0.000156591,0.000167261,0.000158322,0.000205832,0.00040657,0.000147737,0.000216052,0.000410272,0.000192301,0.000176177,0.000174291,0.000164638,0.000233751,0.000369018,0.000225024,0.000306629,0.000227129,0.000223478,0.00022273,0.000145127,0.000206676,0.000418285,0.000116608,0.000207466,0.000379782,0.000147179,0.000268077,0.000406911,0.00015091,0.000149631,0.000135057,7.34E-05,0.000330563,7.23E-05,0.000106197,9.48E-05,0.000140447,0.000107554,0.000223243,0.000404243,0.000100243,0.000106071,0.000308227,0.000467324
COG3624,PhnG,,4.28E-06,3.90E-07,1.55E-06,9.59E-07,7.36E-08,6.20E-07,9.65E-07,1.26E-06,1.22E-06,6.15E-07,3.70E-07,8.55E-07,1.30E-06,1.91E-07,3.46E-06,9.99E-07,2.51E-06,1.39E-06,3.52E-06,2.33E-06,2.52E-06,2.42E-06,1.58E-06,2.95E-06,2.70E-06,1.60E-06,1.59E-06,1.42E-06,1.10E-06,3.79E-07,4.54E-07,3.86E-06,2.09E-06,9.69E-07,1.22E-06,3.16E-07,6.48E-07,9.26E-07,7.39E-07,1.02E-06,9.57E-07,1.43E-06,7.60E-05,2.33E-05,3.02E-06,2.14E-05,1.72E-06,4.99E-06,1.60E-06,2.37E-05,2.05E-06,3.08E-05,1.16E-06,1.31E-05,1.07E-05,9.57E-06,2.63E-06,4.02E-06,1.58E-06,1.90E-06,1.58E-06,6.59E-05,7.51E-05,0.000119386,0.000156281,8.60E-05,0.000196911,0.000146775,0.000164344,7.02E-06,6.90E-06,3.01E-06,1.70E-06,1.80E-06,1.52E-06,6.75E-07,4.12E-07,4.01E-07,1.41E-06,3.22E-07,6.55E-07,2.54E-06,1.40E-06,7.93E-07,2.94E-06,1.37E-06,3.76E-06,3.13E-06,2.63E-06,2.89E-06,1.25E-05,1.82E-06,2.64E-06,1.25E-06,2.52E-06,1.63E-06,2.68E-06,1.41E-06,3.24E-06,1.09E-06,9.76E-07,2.10E-06,5.79E-07,1.36E-06,1.39E-06,1.11E-06,1.89E-06,2.52E-06,6.92E-07,3.99E-06,5.57E-06,4.16E-06,2.91E-06,2.18E-06,2.71E-06,6.05E-06,3.60E-06,6.40E-06,2.99E-06,1.59E-06,1.67E-06,1.89E-05,8.33E-05,3.96E-07,2.53E-07,5.69E-07,0,1.13E-06,1.28E-07,2.46E-06,1.62E-06,9.80E-07,1.61E-06,2.47E-06,1.21E-06,3.03E-06,2.15E-06,2.83E-05,0.000158335
COG3625,PhnH,,4.27E-06,5.49E-07,7.86E-07,5.31E-07,1.30E-07,5.91E-07,9.24E-07,1.63E-06,1.41E-06,6.32E-07,5.31E-07,8.41E-07,1.20E-06,3.88E-08,2.96E-06,9.18E-07,2.38E-06,1.94E-06,2.95E-06,2.22E-06,1.61E-06,1.69E-06,2.46E-06,3.36E-06,2.38E-06,1.50E-06,2.22E-06,1.46E-06,8.58E-07,1.03E-06,4.55E-07,3.52E-06,1.70E-06,1.42E-06,2.65E-06,2.73E-07,5.05E-07,6.18E-07,5.66E-07,1.46E-06,1.12E-06,1.35E-06,8.31E-05,2.21E-05,2.78E-06,2.19E-05,2.33E-06,5.28E-06,1.45E-06,2.21E-05,1.92E-06,3.09E-05,1.29E-06,1.18E-05,1.02E-05,8.32E-06,2.64E-06,4.41E-06,1.71E-06,1.98E-06,1.11E-06,6.44E-05,7.11E-05,0.000131505,0.000176741,8.30E-05,0.000176992,0.000156469,0.000160572,5.54E-06,6.50E-06,2.79E-06,1.58E-06,2.30E-06,2.03E-06,5.47E-07,8.40E-07,4.15E-07,1.74E-06,4.91E-07,8.61E-07,2.66E-06,7.00E-07,1.10E-06,3.36E-06,1.69E-06,3.50E-06,4.63E-06,3.79E-06,2.27E-06,1.14E-05,1.74E-06,2.28E-06,1.35E-06,1.97E-06,2.36E-06,2.18E-06,1.33E-06,2.61E-06,9.98E-07,1.43E-06,3.25E-06,8.85E-07,2.05E-06,1.40E-06,1.28E-06,1.51E-06,3.10E-06,7.87E-07,3.44E-06,5.52E-06,4.21E-06,2.04E-06,2.55E-06,3.59E-06,5.61E-06,2.76E-06,4.45E-06,3.82E-06,2.77E-06,2.61E-06,1.96E-05,9.92E-05,4.19E-07,3.38E-07,6.26E-07,4.62E-08,7.25E-07,0,3.08E-06,2.83E-06,1.83E-06,1.86E-06,1.53E-06,1.09E-06,2.66E-06,1.89E-06,2.76E-05,0.000150319
