feature,Mean_Oxygen,Mean_Oxygen_qval,log_PO4,log_PO4_qval,log_NO2NO3,log_NO2NO3_qval,sqrt_iron,sqrt_iron_qval,log_depth,log_depth_qval,Mean_Temperature,Mean_Temperature_qval,Mean_Salinity,Mean_Salinity_qval,size_fraction,size_fraction_qval,Absolute_Latitude,Absolute_Latitude_qval
COG0001,not_significant,0.199900405611476,not_significant,0.397244301603179,not_significant,0.968557230560838,not_significant,0.270305385832278,not_significant,0.941392545280254,not_significant,0.751256990811273,not_significant,0.630631928482735,not_significant,0.439572275460135,not_significant,0.693755533047162
COG0002,not_significant,0.446293625582739,not_significant,0.991553644384226,not_significant,0.152850241873173,negative,0.0281516688036058,negative,0.00379394201919781,not_significant,0.807459503716012,not_significant,0.929783010753514,negative,0.0422719953108035,not_significant,0.921642443152898
COG0003,not_significant,0.496698619768978,not_significant,0.436109472883917,not_significant,0.597539633109213,not_significant,0.442874184292828,not_significant,0.18554561014563,not_significant,0.859552024952317,not_significant,0.261325656337414,not_significant,0.102901205555635,not_significant,0.437138065360902
COG0004,negative,0.0328042252892327,not_significant,0.157892226261756,not_significant,0.711841797240431,not_significant,0.868330006090092,not_significant,0.22918983772226,not_significant,0.932803939111894,not_significant,0.213830462521653,not_significant,0.374086925363251,not_significant,0.503079284796689
COG0005,negative,0.0122754783013058,not_significant,0.206433442052563,not_significant,0.356313986719839,not_significant,0.751480068030478,not_significant,0.203887137695213,not_significant,0.0975555919060046,not_significant,0.962688193479972,not_significant,0.62548919922917,not_significant,0.546920473216887
COG0006,negative,0.0048979449724904,not_significant,0.331086285332657,positive,0.0147964772165549,positive,0.0457581760072629,not_significant,0.134832451232823,not_significant,0.683556180843775,not_significant,0.713203264962612,not_significant,0.0522522002041773,not_significant,0.0826411281522123
COG0007,not_significant,0.443970848311676,not_significant,0.993858083429865,negative,0.036796276657702,not_significant,0.34495014893082,not_significant,0.851424563727278,not_significant,0.311220772400924,not_significant,0.479962641971679,not_significant,0.112324391162739,not_significant,0.356391040878803
COG0008,not_significant,0.361271515829693,not_significant,0.741865721494977,positive,0.0243786947593733,not_significant,0.34495014893082,not_significant,0.981419759422182,not_significant,0.0951393265957611,not_significant,0.537889146504989,positive,0.0341826513590112,positive,0.018470232193871
COG0009,not_significant,0.156167805209625,not_significant,0.536020128947168,not_significant,0.150978276934361,not_significant,0.925592306418471,negative,0.0119964703758411,not_significant,0.478686191602019,not_significant,0.514694932559227,not_significant,0.266425374130376,not_significant,0.758536962462822
COG0010,not_significant,0.0853954003147617,not_significant,0.883340323510833,positive,0.0367015338763659,not_significant,0.0600562678123699,not_significant,0.902455198789677,not_significant,0.915777023938037,not_significant,0.454755601771614,not_significant,0.4309323882593,not_significant,0.707637643375163
COG0011,not_significant,0.795875075282748,not_significant,0.728164535001671,not_significant,0.289304382143077,not_significant,0.415820960923688,not_significant,0.848498198132831,not_significant,0.962035274428285,not_significant,0.551301299987232,not_significant,0.668286746928056,not_significant,0.0875031245799401
