accession,location
"GCA..000431235.1..Bacteria..Firmicutes..Erysipelotrichia..Erysipelotrichales..Erysipelotrichaceae..Coprobacillus..Coprobacillus..sp..CAG..698
",hostAssociated
"GCA..000433675.1..Bacteria..Firmicutes..Clostridia..Clostridiales..Clostridiaceae..Clostridium..Clostridium..sp..CAG..433
",hostAssociated
"GCA..000434775.1..Bacteria..Actinobacteria..Coriobacteriia..Eggerthellales..Eggerthellaceae..Eggerthella..Eggerthella..sp..CAG..368
",hostAssociated
"GCA..000987045.1..Bacteria..Firmicutes..Clostridia..Clostridiales..NA..NA..Clostridiales..bacterium..PH28..bin88
",hostAssociated
"GCA..001421185.1..Archaea..Euryarchaeota..Thermoplasmata..Methanomassiliicoccales..NA..NA..Methanomassiliicoccales..archaeon..RumEn..M1
",hostAssociated
"GCA..001512665.1..Bacteria..Firmicutes..Clostridia..Clostridiales..NA..NA..Clostridiales..bacterium..DTU073
",hostAssociated
"GCA..001513125.1..Bacteria..Firmicutes..Clostridia..NA..NA..NA..Clostridia..bacterium..DTU030
",hostAssociated
"GCA..001513145.1..Bacteria..Firmicutes..Clostridia..NA..NA..NA..Clostridia..bacterium..DTU025
",hostAssociated
"GCA..001513395.1..Bacteria..Firmicutes..Clostridia..NA..NA..NA..Clostridia..bacterium..DTU080
",hostAssociated
"GCA..001513495.1..Bacteria..Firmicutes..Clostridia..Clostridiales..NA..NA..Clostridiales..bacterium..DTU087
",hostAssociated
"GCA..001513545.1..Bacteria..Firmicutes..Clostridia..NA..NA..NA..Clostridia..bacterium..DTU068
",hostAssociated
"GCA..001577715.1..Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..Candidatus..Adiutrix..Candidatus..Adiutrix..intracellularis
",hostAssociated
"GCA..001735895.1..Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Olavius..algarvensis..Gamma..3..endosymbiont
",hostAssociated
"GCA..001916065.1..Bacteria..Firmicutes..Clostridia..Clostridiales..Clostridiaceae..Clostridium..Clostridium..sp..28..17
",hostAssociated
