SRA_Accession,Sample,Omega_P_High,Omega_P_Med,Omega_P_Low,Omega_N_High,Omega_N_Med,Omega_N_Low,Omega_Fe_High,Omega_Fe_Med,Omega_Fe_Low,Theta,Pro_SCCG,cirA,expD,febB,fepB,fepC,tolQ,tonB,crp1390,PMM0804,isiA,dpsA,fur,futA,futB,futC,isiB,focA,moaA,moaB,moaD,moaE,moeA,narB,moaC,mobA,napA,tauE,cynA,cynS,nirA,unkN1,unkN2,ureA,ureB,ureC,ureD,ureE,ureF,ureG,urtA,dadA,amt1,carA,carB,gdhA,glnA,glnB,glsF,nadB,ntcA,pipX,speA,speB,amtB,thiO,phoA,phoX,PMM707,PMM721,acr3,arsR,chrA,gap1,mfs,phoB,phoE,phoR,ptrA,unkP1,unkP2,unkP3,unkP4,unkP5,PMM719,PMM722,phnD,ppA,ppK,ppX,pstA,pstB,pstC,pstS,sqdB,Cruise,Cruise_Station,Depth_m_,Year,Month,Day,Local_Hour,LatitudeDegN,LongitudeDegE
SAMN15782438,A392013_041_meta,-0.204661331,-0.567900297,-2.603210723,-0.680641479,-0.738260257,0.843424983,-0.265816037,1.133984317,-2.399590735,0.849802246,5.74990044,0.04850264,0.036658776,0,0.034205712,0.002295921,0.04512255,0.02502211,0.189112744,0.110216815,0.453547509,0,0.128914532,0.162451254,0.458526965,2.066860763,0.266514893,0.000190697,0.028574491,0.321481192,0,0.086242324,0.087469072,0.030572125,0.232603777,0,0.018052296,0.024845151,0.014905802,0.197809927,0.034281469,0.004647546,0.039752241,1.490053064,0.312073668,2.89400295,0.162232849,0.23104031,0.095691803,0.576176586,0.369113246,0.078848368,2.242631315,2.5352158,8.671988967,0.221967316,4.319127137,6.271795196,4.325182629,1.068241746,0.089743167,0.039461629,0.39163456,0.234577436,0.6967124,0.167267731,0.049089477,0.155320919,0,0.153801536,0.01857857,0.095126622,0.081642745,1.38661416,0.274123959,0.056779178,0.077632826,0.067932923,0.044464693,0,0.059007233,0.030264804,0.20838319,0.145953081,0.057720865,0.189124537,0.063528333,0.133394797,0.374747359,0.175057215,0.099468932,1.644123904,0.261668129,0.23973034,0.356252011,AE1319,5,1,2013,8,27,12.4,52.9960167,-45.9951833
SAMN15782442,A392013_105_meta,1.088925797,0.189889274,-0.529364124,-0.763336096,0.033164767,0.008544918,-0.265816037,0.243104458,-0.582593478,0.724270722,7.491615068,0.014791951,0.008506242,0.046672226,0.040914196,0.003964829,0,0,1.384070163,0.908951962,2.102508488,0,0.830627821,0.981578928,0.641971639,1.765061606,0.675388005,0.012587172,0.063685472,0.098965862,0,0.082671301,0.063282145,0.101718549,0.16726519,0.009341321,0.004123014,0.013772011,0.030322552,0.156932206,0.083460665,0.00469348,0,2.118980663,1.358112335,3.963196815,0.415116721,0.835294664,0.353816233,1.878941082,0.699468034,0.502864138,1.775777621,1.806311293,4.363376479,0.094596713,1.984843271,4.051325303,2.8013902,1.007811095,0.795265517,0.45270403,0.910456417,0.97943629,0.206109216,0.643588812,0.742126404,0.362450288,0.363584194,0.715917075,0.211644464,0.401712226,0.292965403,1.195386057,0.834697212,0.584795315,0.281420511,0.3680851,0.032065644,0.446231572,0.269348749,0.361576891,0.319572913,0.478966853,0.761741853,1.315376191,0.159996994,1.18182013,0.807149787,0.763626416,0.661999736,1.796363841,0.702749697,1.056571256,1.156531527,AE1319,7,5,2013,8,29,13.68,49.0017167,-40.0028167
SAMN15782443,A392013_138_meta,1.76355214,0.891063751,-0.353272742,-1.06796891,-0.321393909,0.060276644,-0.265816037,-0.47488772,0.079598856,0.550316167,22.31891313,0,0.014166302,0.000156661,0.007324452,0.003893948,0.006081785,0.004084791,1.637305338,0.832704764,2.811221251,0.020437391,1.399355031,0.876635198,1.137240275,0.782980221,1.165016621,0.04239776,0.044288986,0,0,0.002505875,0.00376086,0.055468858,0.027012098,0.005115862,0.006869215,0,0.097295729,0.053584417,0.020301506,0.012918474,0,1.362783277,1.361459344,2.549623974,0.470139901,0.332087316,0.513986306,1.400611141,1.57796792,0.621764999,2.047310551,1.301093818,2.466607739,0.031662355,2.610759257,3.158910631,2.183983111,1.440183776,1.279290832,0.672437852,0.821481476,0.996472392,0.225815185,0.790129331,1.302035121,0.3947685,1.159397558,1.003808909,0.446676647,0.738328455,0.731998382,1.330782266,1.24995676,0.98640387,0.693346151,0.697466978,0.083126589,0.624889743,0.560329811,0.168903883,0.444309711,0.315040993,1.372995977,0.607063567,0.01425634,1.711659557,0.892556376,0.638964647,0.821797837,2.204288182,1.163598152,1.561089445,0.982622669,AE1319,8,5,2013,8,30,11.65,47.00085,-42.5021667
SAMN15782445,A392013_192_meta,1.300281683,0.748949673,-0.616776102,-1.06453184,-0.414268632,-0.050967012,-0.265816037,0.106211053,-0.873658094,0.627906901,11.76934515,0.010602722,0.024781894,0,0.068363846,0.03037856,0.014745045,0,1.171116142,0.775111336,2.036548987,0,0.744891399,1.133764071,0.873565133,1.211056262,0.646277792,0.02971964,0.028262791,0.05990567,0,0.00384622,0.028187618,0.036345137,0.032692869,0,0.037453056,0,0.149349485,0.013969716,0.025016865,0.002509559,0,1.618569658,0.67690773,2.926532965,0.673201271,0.444688442,0.497606588,1.330646674,0.980588177,0.657921536,1.451695886,1.376011167,2.792863337,0.095200753,1.977108898,2.928883558,2.175672478,1.314553063,1.038817986,0.978596631,0.786064179,1.177662311,0.180206211,1.079132584,0.801221969,0.41694172,0.663192505,0.789778959,0.412226168,1.145385844,0.56166523,1.194947881,1.008467223,0.963888353,0.227822687,0.80131766,0.054248606,0.757415986,0.643823497,0.289559788,0.337177059,0.534122709,0.828618511,0.999626938,0.01287504,0.927550899,0.746727848,0.938065693,0.88154023,1.761268116,0.912668518,1.703814367,1.224281632,AE1319,9,5,2013,8,31,12.88,44.9932833,-45.0024333
SAMN15782447,A392013_225_meta,1.170977433,0.720102068,0.371226914,-0.933705777,-0.200625552,0.661729332,-0.265816037,-0.487523275,-0.565696341,0.518291013,9.619407907,0.007562201,0,0,0,0.004117089,0.016254367,0,1.445871548,0.841952011,2.04873188,0,1.236208047,1.077203995,1.073254996,0.903576478,0.855215492,0.024507289,0.185881029,0.071404466,0,0,0.027354859,0.072454532,0.029518513,0,0.06716366,0.005225327,0.019281923,0.088503509,0.034106464,0.008187854,0,1.433433223,0.966050612,3.67085185,0.524857216,0.587238731,0.414010175,1.855083336,1.318024121,0.769160808,2.233387368,1.170995065,2.6004774,0.003684282,2.679817163,4.32059548,2.438009006,1.534368085,1.52598104,0.899009602,1.198349732,1.223273035,0.372727813,0.682741353,0.69459154,0.410485654,0.581232355,1.00619763,0.299016329,0.864704843,0.514275443,1.275077199,1.435849728,0.698232652,0.717506815,0.282049032,0.048817724,0.739748444,0.292068268,0.604942066,0.499568747,0.532828033,1.073890488,1.23415992,0.095836247,1.30210823,1.079715446,1.228237937,0.755311411,2.066260502,1.248993897,1.486868742,2.035575133,AE1319,10,5,2013,9,1,20.07,43.0016833,-47.4985333
SAMN15782449,A392013_247_meta,2.213669421,1.351063097,0.271911229,-0.830778478,-0.359787501,0.431887551,-0.24835991,-0.643545574,-0.358477869,0.29279246,324.9320387,0.000567539,0.004797383,0.000294126,0.002153904,8.80E-05,0.000698005,0.000254272,1.337819404,0.984582404,2.590768771,0,1.177594383,1.066683916,1.144334141,0.878219154,1.099285408,0.001474667,0.073918478,0.103978231,0,0.059558356,0.095421279,0.170479839,0.071379282,0.000323059,0.089303273,0.000223897,0.053582774,0.04926186,0.090245458,0.000450164,0,1.014418778,1.085403103,1.396575527,0.861920791,0.798233642,0.787991449,0.983775903,1.27938063,1.279873004,1.857018281,0.948157564,1.16704157,0.00884363,1.255659463,3.121956187,1.539898468,1.585431948,1.590517849,1.16113316,1.503014571,1.811774426,0.008657547,1.38311722,0.912616576,0.707350206,0.89135051,1.649176909,0.38802301,0.864687824,0.797202627,1.147444892,1.15775932,0.881603553,0.630801939,0.736514889,0.356412759,0.853749692,0.857010713,0.542422246,0.934219025,0.885919269,1.334958706,1.369561802,0.004273533,1.259049258,1.318424452,1.158536211,1.158921879,1.213504235,1.15069407,1.965726919,1.718397437,AE1319,11,5,2013,9,2,17.7,41.00175,-50.0005
SAMN15782450,A392013_269_meta,1.249579211,1.916389388,0.68351181,-0.125880048,0.046800953,0.33586125,-0.265816037,-0.632225722,-0.203569336,0.240133547,180.5317808,0.001255459,0.003991476,0.001226627,0.002412342,0,0,0.000197265,1.384116423,1.106099986,1.998647331,0,1.342778493,1.099563866,1.181378898,1.051146914,1.017195124,0.004014699,0.223163256,0.24881598,0.000615466,0.122557448,0.218801902,0.373051308,0.231266919,0.000948701,0.31221479,0.002036898,0.144801844,0.10796432,0.276567947,0.00718303,0,1.141914261,1.163903077,1.501852564,0.867967019,0.962575978,0.925904701,1.170051345,1.35413186,1.20963942,1.699716852,1.076850968,1.282235013,0.003393057,1.353411105,3.049865295,1.5754896,1.431363487,1.605235879,1.146343366,1.309768042,1.868739189,0.002586261,1.468800322,1.259624671,0.223620328,1.133161263,2.277513738,0.657996708,1.045806636,0.865942121,1.231339654,1.238940187,0.963010668,0.549114857,0.883375617,0.610098197,0.776010262,1.196729008,1.184300739,1.432103076,0.712901283,1.883666696,2.193958547,0.008163684,1.359249623,1.287262671,1.222425217,1.156633888,1.417163373,1.208393892,1.920443638,1.59123289,AE1319,12,5,2013,9,3,18.7,39.0007167,-52.50055
SAMN15782451,A392013_303_meta,1.66162272,2.111109452,1.104202498,0.336664216,0.242562597,0.717906644,-0.265816037,-0.655666532,0.384589051,0.159610967,165.7244342,0.000468682,0,0,0.000346788,0,0.000248829,0.003249138,1.884788097,1.03637611,2.67840462,0.000774565,1.509443672,1.263699856,1.380260898,1.029850437,1.292865334,9.92E-05,0.370669481,0.380612358,0,0.236634082,0.296717843,0.51017113,0.286198239,0,0.359704042,0.002506232,0.256869986,0.220870289,0.387930658,0,0,0.996325692,1.434051183,1.876390923,0.808424425,0.67448712,0.801796096,1.183114692,1.779115868,1.21602251,2.359927733,1.186973032,1.488453659,0.001056977,1.765434607,3.531780501,1.67233207,1.672227102,1.905264801,1.261310461,1.268830439,1.911871693,0.002376465,1.087848273,1.519545938,0.274656835,1.232845973,2.037198642,0.595246469,1.07695585,0.943170748,1.500070967,1.54552585,0.946958468,0.995205379,0.838495357,0.444833742,1.065968369,1.273557064,1.455900471,1.332094312,0.787351676,1.767014828,2.147302174,0.004709675,1.983027162,1.112608329,1.279409086,1.491619192,1.637708101,1.577671464,1.980711101,1.778402468,AE1319,13,5,2013,9,4,20.98,37.0045167,-55.0018333
SAMN15782452,A392013_325_meta,1.29763305,1.719652454,0.495002288,0.097048714,0.058805236,0.343945167,-0.265816037,-0.680505112,-0.298356868,0.21378131,206.7273875,0.000830493,0,0,0.001050241,0.002139263,0.001130363,0,1.429506528,1.069590778,2.093197334,0,1.352771666,1.064835904,1.139454934,0.901544258,1.060224436,0.000981248,0.280054344,0.289807325,0.000729432,0.190535417,0.244400933,0.530331786,0.262447781,7.13E-05,0.309125971,0,0.16214049,0.142133479,0.270007554,0,0,1.227106726,1.303885652,1.405989848,0.878297835,0.972880998,0.889291332,1.020551099,1.376872035,1.261947049,1.669956806,0.968745294,1.274098299,0.001051124,1.348087265,3.02604516,1.521282737,1.489366909,1.495949077,1.242318508,1.371859797,2.05551764,0.002329065,1.34446311,1.187792597,0.268532098,1.095943562,2.112050748,0.470365296,1.039715275,0.841435876,1.202277918,1.23259361,0.986619751,0.527404042,0.829503917,0.528689659,0.754009413,0.969847537,1.058090558,1.397100776,0.748669825,1.69373002,1.974581429,0.005473397,1.270660241,1.266433433,1.189623608,1.157227555,1.335192216,1.155009553,1.89401503,1.606036203,AE1319,14,5,2013,9,5,18.13,35.0006167,-57.5049
SAMN15782453,A392013_360_meta,1.430889147,1.719661982,0.886883631,0.015288693,0.011570812,0.498258743,-0.247247391,-0.626818569,-0.098601753,0.209641575,445.9698895,0.001280924,0.005864064,0,0.000183279,6.91E-05,0.001995727,0.000351358,1.856338889,0.937584775,2.393262019,0,1.392520204,1.004956632,1.259714718,0.971387531,1.04003531,0.007828394,0.258789717,0.321383295,0.000195757,0.166326869,0.204925354,0.433759035,0.232618262,8.26E-05,0.344006864,0.003609635,0.215572431,0.196418747,0.293532347,0.006408385,0,0.95975045,1.224386998,1.842580959,0.77091664,0.623640316,0.711992898,1.097412078,1.567732184,1.052575116,2.087816211,1.107245032,1.395039382,0.002810421,1.766151359,3.226457644,1.596378769,1.633246432,1.833172766,1.094508954,1.32805625,1.976922776,0.005681485,1.074758656,1.423165701,0.227323927,1.117661337,1.711331629,0.558806073,1.072179424,0.838731288,1.384411953,1.44680872,0.911096973,0.67079079,0.741792593,0.376198666,0.897513652,1.01270717,1.36899816,1.06797287,0.703207005,1.713705482,1.922770803,0.008706593,1.812284885,1.124426851,1.156050341,1.319379571,1.569875533,1.522217703,2.02874651,1.893156888,AE1319,15,5,2013,9,6,17.65,33.00055,-60.0001
