SRA_Accession,sample_accession,Sample,collection_date,geo_loc_name,lat_lon,temperature,phosphate,nitro,ENA-BASE-COUNT
SAMN15782920,SRR12479645,I9N2016_126_meta,2016-04-10T16:56:00Z,Indian Ocean,0.147463 N 93.375472 E,30.862,NA,NA,2522978970
SAMN15782919,SRR12479646,I9N2016_125_meta,2016-04-10T14:30:00Z,Indian Ocean,0.000613 N 93.441673 E,31.108,0.000,0.000,3085782546
SAMN15782918,SRR12479647,I9N2016_124_meta,2016-04-10T11:56:00Z,Indian Ocean,0.119813 S 93.483068 E,31.236,NA,NA,2752625810
SAMN15782917,SRR12479648,I9N2016_123_meta,2016-04-10T09:00:00Z,Indian Ocean,0.315935 S 93.552152 E,31.267,0.000,0.000,2085906148
SAMN15782484,SRR12479649,AMT2018_059_meta,2018-10-10T15:04:00Z,Atlantic Ocean,1.150417 S 24.982050 W,26.960,0.000,0.070,3479262876
SAMN15782916,SRR12479650,I9N2016_122_meta,2016-04-10T06:10:00Z,Indian Ocean,0.434600 S 93.587717 E,30.848,NA,NA,2191010302
SAMN15783090,SRR12479651,P182016_025_meta,2016-12-08T04:15:00Z,Pacific Ocean,1.000000 S 110.000000 W,21.700,0.835,10.230,4278322864
SAMN15782501,SRR12479652,AMT2018_093_meta,2018-10-19T15:01:00Z,Atlantic Ocean,30.005917 S 31.149717 W,19.640,0.000,0.000,6432535976
SAMN15783089,SRR12479653,P182016_024_meta,2016-12-07T08:15:00Z,Pacific Ocean,0.000000 N 110.000000 W,21.400,0.881,11.150,2347031052
SAMN15783088,SRR12479654,P182016_023_meta,2016-12-06T13:15:00Z,Pacific Ocean,1.000067 N 109.999920 W,22.000,0.852,10.940,4180960178
SAMN15783087,SRR12479655,P182016_022_meta,2016-12-05T17:50:00Z,Pacific Ocean,1.999850 N 110.002050 W,25.000,0.250,0.330,4913047438
SAMN15783086,SRR12479656,P182016_021_meta,2016-12-04T23:00:00Z,Pacific Ocean,3.000000 N 110.000000 W,25.800,0.181,0.120,2617642078
SAMN15783085,SRR12479657,P182016_020_meta,2016-12-04T11:47:00Z,Pacific Ocean,4.000100 N 109.999920 W,25.200,0.203,0.420,6715081438
SAMN15783084,SRR12479658,P182016_019_meta,2016-12-03T23:32:00Z,Pacific Ocean,4.940717 N 110.000020 W,26.690,NA,NA,8297218668
SAMN15783083,SRR12479659,P182016_018_meta,2016-12-03T12:10:00Z,Pacific Ocean,5.999900 N 109.997030 W,25.900,0.188,0.110,4479712470
SAMN15783082,SRR12479660,P182016_017_meta,2016-12-03T02:00:00Z,Pacific Ocean,7.000000 N 110.000000 W,26.100,0.126,0.010,5343602194
SAMN15783081,SRR12479661,P182016_016_meta,2016-12-02T13:40:00Z,Pacific Ocean,7.999367 N 109.999900 W,26.400,0.106,0.010,3210163662
SAMN15783080,SRR12479662,P182016_015_meta,2016-12-02T02:30:00Z,Pacific Ocean,9.000000 N 110.000000 W,26.700,0.146,0.010,4790452048
SAMN15782500,SRR12479663,AMT2018_091_meta,2018-10-19T06:36:00Z,Atlantic Ocean,29.127583 S 30.223483 W,19.580,0.080,0.000,2810455488
SAMN15783079,SRR12479664,P182016_014_meta,2016-12-01T13:45:00Z,Pacific Ocean,9.999000 N 110.000020 W,26.800,0.145,0.010,5592468616
SAMN15783078,SRR12479665,P182016_013_meta,2016-12-01T03:00:00Z,Pacific Ocean,10.999983 N 109.999980 W,27.400,0.197,0.010,4966045116
SAMN15783077,SRR12479666,P182016_012_meta,2016-11-30T13:15:00Z,Pacific Ocean,11.999933 N 109.999920 W,26.200,0.145,0.030,3953276338
SAMN15783076,SRR12479667,P182016_011_meta,2016-11-30T01:45:00Z,Pacific Ocean,12.999867 N 110.000150 W,27.700,0.134,0.020,3475312716
SAMN15783075,SRR12479668,P182016_010_meta,2016-11-29T13:00:00Z,Pacific Ocean,13.999967 N 110.000600 W,27.700,0.165,0.020,61357642
SAMN15783074,SRR12479669,P182016_009_meta,2016-11-28T21:10:00Z,Pacific Ocean,14.665500 N 110.000370 W,29.570,0.171,0.020,6119397310
SAMN15783073,SRR12479670,P182016_008_meta,2016-11-28T07:30:00Z,Pacific Ocean,16.000617 N 109.999650 W,27.000,0.296,0.020,4789707014
SAMN15783072,SRR12479671,P182016_007_meta,2016-11-27T18:28:00Z,Pacific Ocean,16.999667 N 110.000930 W,29.500,0.199,0.010,6260204810
SAMN15783071,SRR12479672,P182016_006_meta,2016-11-27T20:30:00Z,Pacific Ocean,17.047433 N 110.001080 W,27.600,0.199,0.010,4958033358
SAMN15783070,SRR12479673,P182016_005_meta,2016-11-27T08:13:00Z,Pacific Ocean,18.001067 N 109.999770 W,27.500,0.204,0.010,6785123090
SAMN15782499,SRR12479674,AMT2018_089_meta,2018-10-18T12:36:00Z,Atlantic Ocean,27.410767 S 28.410767 W,21.120,0.080,0.000,3768437842
SAMN15782849,SRR12479675,I9N2016_056_meta,2016-03-31T14:30:00Z,Indian Ocean,16.277557 S 94.999862 E,27.485,0.030,0.000,4596299268
SAMN15782848,SRR12479676,I9N2016_055_meta,2016-03-31T10:30:00Z,Indian Ocean,16.581497 S 95.000150 E,27.248,NA,NA,1415203710
SAMN15782847,SRR12479677,I9N2016_054_meta,2016-03-31T07:25:00Z,Indian Ocean,16.837822 S 94.999777 E,27.217,0.040,0.000,1540889768
SAMN15782477,SRR12479678,AMT2018_045_meta,2018-10-06T15:01:00Z,Atlantic Ocean,13.811767 N 28.293767 W,27.850,0.000,0.000,3756719336
SAMN15782441,SRR12479679,A392013_084_meta,2013-08-28T08:00:00Z,Atlantic Ocean,50.999850 N 43.000517 W,13.095,NA,0.000,4048030348
SAMN15782846,SRR12479680,I9N2016_053_meta,2016-03-31T03:32:00Z,Indian Ocean,17.095345 S 94.999967 E,27.217,NA,NA,1521190610
SAMN15782845,SRR12479681,I9N2016_052_meta,2016-03-30T22:40:00Z,Indian Ocean,17.399553 S 95.000000 E,27.224,0.050,0.000,1648806750
SAMN15782844,SRR12479682,I9N2016_051_meta,2016-03-30T20:21:00Z,Indian Ocean,17.628028 S 94.999900 E,27.132,NA,NA,1445140064
SAMN15782843,SRR12479683,I9N2016_050_meta,2016-03-30T14:30:00Z,Indian Ocean,17.963083 S 94.999732 E,27.041,0.040,0.000,1906753708
