sample_accession	run_accession	fastq_bytes_1	fastq_bytes_2	fastq_ftp_1	fastq_ftp_2	sample_title
SAMN15782920	SRR12479645	543519855	494582717	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/045/SRR12479645/SRR12479645_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/045/SRR12479645/SRR12479645_2.fastq.gz	I9N2016_126_meta
SAMN15782919	SRR12479646	701775096	753843150	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/046/SRR12479646/SRR12479646_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/046/SRR12479646/SRR12479646_2.fastq.gz	I9N2016_125_meta
SAMN15782918	SRR12479647	547210737	576037873	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/047/SRR12479647/SRR12479647_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/047/SRR12479647/SRR12479647_2.fastq.gz	I9N2016_124_meta
SAMN15782917	SRR12479648	427691326	465438570	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/048/SRR12479648/SRR12479648_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/048/SRR12479648/SRR12479648_2.fastq.gz	I9N2016_123_meta
SAMN15782484	SRR12479649	714901891	771264637	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/049/SRR12479649/SRR12479649_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/049/SRR12479649/SRR12479649_2.fastq.gz	AMT2018_059_meta
SAMN15782916	SRR12479650	448382837	479486274	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/050/SRR12479650/SRR12479650_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/050/SRR12479650/SRR12479650_2.fastq.gz	I9N2016_122_meta
SAMN15783090	SRR12479651	896552860	984103649	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/051/SRR12479651/SRR12479651_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/051/SRR12479651/SRR12479651_2.fastq.gz	P182016_025_meta
SAMN15782501	SRR12479652	1342152155	1451708791	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/052/SRR12479652/SRR12479652_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/052/SRR12479652/SRR12479652_2.fastq.gz	AMT2018_093_meta
SAMN15783089	SRR12479653	487106663	521369249	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/053/SRR12479653/SRR12479653_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/053/SRR12479653/SRR12479653_2.fastq.gz	P182016_024_meta
SAMN15783088	SRR12479654	985033153	902355854	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/054/SRR12479654/SRR12479654_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/054/SRR12479654/SRR12479654_2.fastq.gz	P182016_023_meta
SAMN15783087	SRR12479655	1049335975	1093977480	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/055/SRR12479655/SRR12479655_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/055/SRR12479655/SRR12479655_2.fastq.gz	P182016_022_meta
SAMN15783086	SRR12479656	526216096	566504000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/056/SRR12479656/SRR12479656_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/056/SRR12479656/SRR12479656_2.fastq.gz	P182016_021_meta
SAMN15783085	SRR12479657	1423358594	1531864063	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/057/SRR12479657/SRR12479657_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/057/SRR12479657/SRR12479657_2.fastq.gz	P182016_020_meta
SAMN15783084	SRR12479658	1774107737	1907563397	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/058/SRR12479658/SRR12479658_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/058/SRR12479658/SRR12479658_2.fastq.gz	P182016_019_meta
